	Vg
Cre01.g000050	0.0
Cre01.g000100	0.06725789101954979
Cre01.g000150	0.761832088869616
Cre01.g000200	0.13557697184429202
Cre01.g000250	0.053279724097097914
Cre01.g000300	0.3790237759955186
Cre01.g000350	0.2597516505304534
Cre01.g000400	1.6182591365047944e-07
Cre01.g000450	1.877464437765804e-07
Cre01.g000500	0.1412080007539072
Cre01.g000550	0.06333999151832684
Cre01.g000600	5.857784491512973e-16
Cre01.g000650	3.387433119002032e-15
Cre01.g000700	0.16330604100150642
Cre01.g000750	0.13453714912998932
Cre01.g000800	0.0
Cre01.g000850	6.252095313550866e-16
Cre01.g000900	0.0
Cre01.g000950	1.0772281068038208
Cre01.g001000	1.5628564064196524
Cre01.g001100	0.0
Cre01.g001150	0.06873098095529698
Cre01.g001200	0.8301609841762729
Cre01.g001250	1.1972599597106446
Cre01.g001300	0.08198384157074524
Cre01.g001350	0.0
Cre01.g001400	0.2301375752979945
Cre01.g001450	0.8223308007995355
Cre01.g001501	0.0
Cre01.g001550	0.0
Cre01.g001600	0.5884908628826772
Cre01.g001650	0.0
Cre01.g001657	0.07344653812764637
Cre01.g800000	0.0
Cre01.g800001	0.31093845217749927
Cre01.g001664	2.1650116344644035e-09
Cre01.g001678	0.2611576021730839
Cre01.g001700	0.4426093296300707
Cre01.g001750	1.50863163221013e-15
Cre01.g001800	1.1967759622959453e-16
Cre01.g001950	0.16031565040450138
Cre01.g001983	0.09811772459719051
Cre01.g002050	0.1344485637966307
Cre01.g002100	0.7516813587707774
Cre01.g002150	1.3937917553533938
Cre01.g800002	3.8052098354831807e-10
Cre01.g002200	0.0
Cre01.g800003	0.0
Cre01.g002201	1.7088072487295574e-07
Cre01.g002227	0.46889994860007456
Cre01.g800004	0.721081662252898
Cre01.g002250	0.13957547178012925
Cre01.g002300	0.16798297096299336
Cre01.g002350	8.479036407094555e-18
Cre01.g002400	0.1054373558240959
Cre01.g002500	0.0218134191082931
Cre01.g002550	0.16106828630659734
Cre01.g002600	2.0645083526083425
Cre01.g002650	0.9323180169325928
Cre01.g002700	0.020634631893727298
Cre01.g002750	0.3613800131204804
Cre01.g002787	0.3379266229721306
Cre01.g800005	0.1715729250490517
Cre01.g002900	0.46990624930562824
Cre01.g002950	0.013214409162384753
Cre01.g003000	0.10902867587757986
Cre01.g003050	0.10569688253505256
Cre01.g003100	0.2997995666225168
Cre01.g003150	0.09867041463940655
Cre01.g003200	1.9194802688628785
Cre01.g003250	0.44354891965556414
Cre01.g003300	0.0
Cre01.g003376	0.0089658949822557
Cre01.g003450	1.79927770992643e-09
Cre01.g003463	1.9459060884452835e-16
Cre01.g003475	0.648793670235408
Cre01.g003487	0.0
Cre01.g003500	0.0
Cre01.g003516	0.01851753284408384
Cre01.g003524	0.025428817450554805
Cre01.g800006	0.03554477663949288
Cre01.g003550	0.8054726768257909
Cre01.g003650	0.9127799207630782
Cre01.g003700	1.4084855688578868
Cre01.g003751	0.0
Cre01.g003800	0.6167680311463211
Cre01.g003850	5.06743698197389
Cre01.g003950	0.09018896778348086
Cre01.g004000	0.09472898228745451
Cre01.g800007	0.7169855708630154
Cre01.g004124	0.39140669619442536
Cre01.g004157	0.0
Cre01.g004200	0.09132521842727899
Cre01.g004250	0.22999404613461302
Cre01.g004300	0.02420194899640107
Cre01.g004350	0.0
Cre01.g004400	0.0
Cre01.g004450	5.000824824567117e-10
Cre01.g004500	0.21666080974289875
Cre01.g004550	0.5012489002107778
Cre01.g004600	7.882852118551667e-09
Cre01.g004651	0.16524546443318658
Cre01.g004700	0.8500095011895846
Cre01.g004750	4.145944561802499
Cre01.g004800	0.4546879121129955
Cre01.g004850	0.4248549791204538
Cre01.g004900	1.6803002977991106
Cre01.g800008	0.0
Cre01.g004950	0.2384190013412482
Cre01.g005001	0.49018339692356405
Cre01.g800009	0.0
Cre01.g005050	0.06404635647545524
Cre01.g005100	0.08902316286915313
