	Vg
Cre01.g000050	0.31190694825538523
Cre01.g000100	0.23945557709668236
Cre01.g000150	2.31580253171919
Cre01.g000200	0.3777334565713647
Cre01.g000250	0.4823870107449772
Cre01.g000300	0.26782882153017995
Cre01.g000350	0.3149229913759504
Cre01.g000400	0.23055346862373252
Cre01.g000450	0.28585462008495804
Cre01.g000500	1.836663142114203
Cre01.g000550	0.573757863122288
Cre01.g000600	0.6025421955529824
Cre01.g000650	0.6858850192778146
Cre01.g000700	0.4729879662157633
Cre01.g000750	0.3676851438799367
Cre01.g000800	0.4114797192053769
Cre01.g000850	1.0272714780418455
Cre01.g000900	0.4204734514502459
Cre01.g000950	0.4094168898346509
Cre01.g001000	0.07399254099325633
Cre01.g001100	0.32336549872347314
Cre01.g001150	0.43349236315472706
Cre01.g001200	1.3059005259309084
Cre01.g001250	1.4785044960088973
Cre01.g001300	0.3379080590590053
Cre01.g001350	0.18247579247767484
Cre01.g001400	0.18279428004612702
Cre01.g001450	9.543054319604836e-09
Cre01.g001501	0.34671347405731695
Cre01.g001550	1.2005661314531462
Cre01.g001600	0.0
Cre01.g001650	1.053975381185363
Cre01.g001657	0.6505845270613339
Cre01.g800000	1.0958942021664826
Cre01.g800001	0.97366222357199
Cre01.g001664	1.576171639169635
Cre01.g001678	8.31532413002848e-15
Cre01.g001700	0.134925505335075
Cre01.g001750	0.2460831805114
Cre01.g001800	0.30267356861981226
Cre01.g001950	0.0
Cre01.g001983	0.38053215748078323
Cre01.g002050	0.4927940737694991
Cre01.g002100	0.19325716779640734
Cre01.g002150	6.09750825027067e-09
Cre01.g800002	0.16833431142233313
Cre01.g002200	0.17543153058723393
Cre01.g800003	0.3412859244983952
Cre01.g002201	0.4370792729254839
Cre01.g002227	0.8048635588254898
Cre01.g800004	0.6533148317863609
Cre01.g002250	0.8530913661038158
Cre01.g002300	0.4967498215988548
Cre01.g002350	0.31690634772140713
Cre01.g002400	0.3801569704445467
Cre01.g002500	1.206600664448707
Cre01.g002550	0.28805578417930155
Cre01.g002600	0.7766334395689408
Cre01.g002650	0.8663326604763668
Cre01.g002700	0.020251600190338958
Cre01.g002750	0.3817634448858111
Cre01.g002787	0.1511449835576855
Cre01.g800005	0.27938776026148315
Cre01.g002900	0.8742270824064619
Cre01.g002950	0.22188782057429268
Cre01.g003000	0.19439605983073444
Cre01.g003050	0.4391575892971703
Cre01.g003100	0.7608039320176625
Cre01.g003150	1.089885863000987
Cre01.g003200	0.3068896590180495
Cre01.g003250	1.5337628481834502
Cre01.g003300	1.8633081178910653
Cre01.g003376	0.29346506955689783
Cre01.g003450	0.16839390261881845
Cre01.g003463	0.3062712673656233
Cre01.g003475	2.6561887864620175
Cre01.g003487	0.136143229815325
Cre01.g003500	0.2645164756623842
Cre01.g003516	0.8606215445520949
Cre01.g003524	0.40365469772988394
Cre01.g800006	0.12015447750522026
Cre01.g003550	1.81723535730932
Cre01.g003650	0.6656015300583918
Cre01.g003700	0.9703221131916135
Cre01.g003751	1.4901260364201163
Cre01.g003800	0.06414535238774947
Cre01.g003850	0.06797755385291704
Cre01.g003950	0.47208463281696594
Cre01.g004000	0.8301527764484375
Cre01.g800007	1.7846962323543576
Cre01.g004124	1.6600267166824882
Cre01.g004157	1.276775455703491
Cre01.g004200	0.5075886753440101
Cre01.g004250	0.6719203312725464
Cre01.g004300	0.3210782127585973
Cre01.g004350	0.1342975142286102
Cre01.g004400	0.17024422490523952
Cre01.g004450	0.6152254072762822
Cre01.g004500	0.30615275339133774
Cre01.g004550	0.832196485311996
Cre01.g004600	0.17375780461184467
Cre01.g004651	1.0937402054573824
Cre01.g004700	1.0940661188981724
Cre01.g004750	0.6561475544842861
Cre01.g004800	0.1373763415669543
Cre01.g004850	0.3815134916872739
Cre01.g004900	1.07311783757377
Cre01.g800008	3.449306030596456
Cre01.g004950	0.3341098405189945
Cre01.g005001	0.6635490078149331
Cre01.g800009	0.0
Cre01.g005050	0.12102825854655067
Cre01.g005100	0.48426303852989516
Cre01.g005150	1.9214136120529892
Cre01.g005200	1.2077916418622026
Cre01.g005300	0.3987160095834262
Cre01.g005400	3.0672997887683824
Cre01.g005450	0.4790452046197084
Cre01.g005500	0.5820875518455659
Cre01.g005543	0.0
Cre01.g005550	0.3900604070063641
Cre01.g005600	0.5307786299761531
Cre01.g005651	0.7426087085678221
Cre01.g005701	0.22347497311809048
Cre01.g005750	0.9883161082459573
Cre01.g005813	0.5258797714832211
Cre01.g800010	2.593310616899787
Cre01.g005850	0.5588323718865673
Cre01.g005900	2.106804722880146
Cre01.g005950	0.5905677075298862
Cre01.g006000	1.5144715311351318
Cre01.g006050	0.40907192250325985
Cre01.g006100	1.6272567940436622
Cre01.g006150	0.49788373519372653
Cre01.g800011	0.0
Cre01.g006450	0.0
Cre01.g006600	1.6373528747473833
Cre01.g800012	1.645648206336376
Cre01.g800013	1.0452057338569336
Cre01.g800014	0.4252361769751209
Cre01.g800015	1.9545012636327195
Cre01.g800016	3.3278447419319503
Cre28.g757747	1.2554964654334244
Cre01.g800017	0.6225503461128354
Cre28.g757647	0.6806270473589564
Cre28.g757547	0.8559378355167594
Cre01.g800018	0.17262360541501912
Cre01.g800019	0.0
Cre01.g800020	5.226833527982555
Cre01.g800021	1.115691438156176
Cre01.g006766	4.570847438705681
Cre01.g800022	0.327791023984414
Cre01.g006800	0.37716626057900077
Cre01.g006850	0.8050267259455778
Cre01.g006900	1.4688266344554954
Cre01.g800023	1.2180773401961533
Cre01.g800024	1.2418161377292394
Cre01.g800025	1.3523949946053748
Cre01.g006950	4.135834040296303
Cre01.g007000	1.802942732997039
Cre01.g007050	0.9205471217520858
Cre01.g007051	0.5751582081638893
Cre01.g007100	0.10665834988420102
Cre01.g007150	0.7045806931335151
Cre01.g007200	0.4310408884676696
Cre01.g007251	0.08306606297768195
Cre01.g007300	0.3737194574644357
Cre01.g007350	0.49752281577068014
Cre01.g007400	1.8121542125297585
Cre01.g007450	0.5134694513088882
Cre01.g007500	0.8194851999475595
Cre01.g007550	0.6661275245475485
Cre01.g007600	1.1651344158428798
Cre01.g007651	0.24727818439857424
Cre01.g007700	0.5552561879416719
Cre01.g007737	0.5158085061065161
Cre01.g007774	0.0
Cre01.g007811	4.539504357806629e-09
Cre01.g007850	0.5328619486506451
Cre01.g007901	0.31640794504693914
Cre01.g800026	0.0
Cre01.g007950	0.8584748123260648
Cre01.g008000	0.22691949357660157
Cre01.g008051	0.2193971684842959
Cre01.g008100	3.547376716087777
Cre01.g008150	1.937818050441362e-07
Cre01.g008200	0.38995494347999304
Cre01.g008250	0.0
Cre01.g008300	0.4787115349763793
Cre01.g008350	0.10471321433619961
Cre01.g800027	0.04052263907896868
Cre01.g800028	0.12621943929011398
Cre01.g800029	0.09195455256323842
Cre01.g800030	1.169203689878741
Cre01.g008450	0.22916920238303612
Cre01.g008500	0.06412585020926209
Cre01.g008550	0.516726574597107
Cre01.g008600	0.5842733055274233
Cre01.g008650	0.01457187483297407
Cre01.g008700	1.0327673779922566
Cre01.g008750	0.4805197324448643
Cre01.g008800	0.8458534305586504
Cre01.g008850	0.18919119208580387
