CINC	CSCH	k0	k4	sites
g5027	g312	0.4114244638116283	0.5151581756597623	1014.0
g5028	g315	0.2360117877666021	0.6489484253847437	2566.0
g5029	g316	0.0617996488253001	0.47542826024781326	718.0
g5030	g317	0.0652585327422223	0.6896730429143432	289.0
g5031	g318	0.0918980224129752	0.4811568061552069	1897.0
g5032	g319	0.0395261602343306	0.393647879581537	1429.0
g5033	g320	0.0073620223032423	0.18577823704260477	408.0
g5034	g321	0.2818187530329036	0.7175749080234226	4679.0
g5035	g322	0.0302515801878747	0.40866348251843215	1137.0
g5036	g323	0.0691546454000503	0.5025714842736319	1245.0
g5037	g324	0.1736530075820088	0.6580314867183612	518.0
g5038	g325	0.0612585232607003	0.6081976621622466	264.0
g5039	g326	0.1999242298497091	0.6630798029516787	5282.0
g5041	g327	0.1908547429527267	0.6616182941285225	2085.0
g5042	g328	0.252573027773853	0.7366514526177736	1407.0
g5043	g329	0.0642382015441155	0.2750629469456055	899.0
g5046	g331	0.0454155021308151	0.3272423223510522	915.0
g5047	g332	0.0980988028263403	0.879540195616374	276.0
g5048	g333	0.0626685722984018	0.47673201455981545	2061.0
g5049	g334	0.1575785457716323	0.4325382881810205	7253.0
g5052	g335	0.0308413497368763	0.361689188491451	1058.0
g5053	g336	0.0269196922954549	0.4254997999133714	1280.0
g5055	g338	0.0738300546099394	1.0336478631654535	201.0
g5056	g339	0.2005379965033528	0.6212414691961484	3678.0
g5057	g340	0.1660521801273193	0.45967929374808836	1768.0
g5024	g341	0.0621731110474281	0.6268090390020395	1324.0
g5023	g342	0.0057692592173667	0.3546797916777726	523.0
g5022	g343	0.1157817198025464	0.4119902880557421	1556.0
g5021	g344	0.0514781764406213	0.40424737554951534	647.0
g5020	g346	0.133607626157859	0.6081976621622466	932.0
g5019	g348	0.3483028401860561	0.8839912472562348	3559.0
g5018	g349	0.0583627667676057	0.5716050390351726	562.0
g5017	g350	0.0342241042146092	0.48589544319127154	2541.0
g5016	g351	0.030574324336299	0.491410024017244	1884.0
g5015	g352	0.0350754670818289	0.4070574200507218	964.0
g5014	g353	0.0604041468630091	0.5008720294317417	337.0
g5013	g354	0.1221039122693725	0.6367631634500477	3419.0
g5012	g355	0.1597288977006316	0.660116269158734	1731.0
g5010	g357	0.0176234784504779	0.229256728124845	1565.0
g5009	g358	0.0306164958901913	0.3140327511436387	764.0
g5008	g359	0.0897809730494759	0.5701682569865683	1418.0
g5007	g360	0.0196732591116523	0.33177724878271153	804.0
g5006	g361	0.074068953072874	0.63032316045977	605.0
g5005	g362	0.1101851133185218	0.6891143836706353	1283.0
g5004	g363	0.2867770449851363	0.852670856429345	2018.0
g5003	g364	0.1789163133953595	0.7939552155408077	868.0
g5002	g365	0.2124976387119926	0.6624547221341113	2565.0
g5001	g366	0.09120630310995	0.6362838776062064	3472.0
g5000	g367	0.0207043555245565	0.3848394020648175	2430.0
g4999	g368	0.0536761160421589	0.3841218917706241	2470.0
g4998	g369	0.2682676190780991	0.6956350262166449	8263.0
g4997	g370	0.0586577404204287	0.5088967350377931	1257.0
g4996	g371	0.0293435958691741	0.6354733952904027	217.0
g4995	g372	0.1045400250200563	0.7146753581150369	1846.0
g4994	g373	0.0581842444849505	0.6118831732640684	778.0
g4993	g374	0.1544996259329934	0.6162415723303994	5190.0
g4992	g375	0.1102158097174975	0.7822818281349742	600.0
g4991	g376	0.1198297344970915	0.6348363173162287	2395.0
g4990	g377	0.0932877897658016	0.6968956025325472	685.0
g4989	g378	0.0717980164696412	0.5007720360978156	1764.0
g4988	g379	0.0239780661573533	0.5308094849858235	509.0
g4986	g380	0.0742463413430627	0.6838472567147369	1758.0
g4984	g382	0.0057361656286926	0.6125708523953415	271.0
g4983	g383	0.1211696740091441	0.5600329676115261	681.0
g12272	g394	0.0997099223142446	0.6093488519508092	612.0
g12271	g395	0.0187509766540629	0.4197118409515671	584.0
g12269	g396	0.0427770953080037	0.4430738052422851	1467.0
g12268	g397	0.0518085078573022	0.38375319926545604	1327.0
g12267	g398	0.0859195910198518	0.5358840022932317	2098.0
g12266	g399	0.0447076699046461	0.3627733954023459	1720.0
g12265	g400	0.0436169401178055	0.44916185936788	728.0
g12264	g401	0.1266518554263135	0.5607647419172243	959.0
g12263	g402	0.0053381008266479	0.019481614802445507	284.0
g12262	g403	0.0743919530384761	0.5318606414297898	1066.0
g12261	g404	0.0267885619515594	0.21990701943823193	2043.0
g12260	g405	0.0790745364130802	0.4794175349030767	1563.0
g12259	g406	0.0632970147177348	0.39877807379672514	9115.0
g12258	g407	0.0366509457679526	0.4649869535269552	967.0
g12257	g408	0.0460960098515684	0.23042588072614156	1713.0
g12256	g409	0.2438791455097694	0.7818132977433507	2370.0
g12255	g410	0.1398952466167552	0.46394776800609566	5443.0
g12254	g411	0.1738313697980382	0.6020274606585285	5067.0
g12252	g412	0.2148299929223371	0.47656103541853034	1351.0
g13420	g414	0.0238115237359352	0.196824116575968	2549.0
g13419	g415	0.2038722956596116	0.6928433810004628	6433.0
g13418	g416	0.2413529178093231	0.7863961382030238	5892.0
g13417	g417	0.0486572264407923	0.5090688323308842	996.0
g13416	g418	0.0299223727494841	0.5277969674178618	573.0
g13415	g419	0.231293444562257	0.740539990168414	937.0
g13414	g420	0.1988886725548526	0.5317226025024228	2981.0
g13413	g421	0.0741826563901277	0.6038498238990022	1244.0
g13412	g422	0.0662569797501206	0.35967981019641465	307.0
g13411	g423	0.0693820795287599	0.41957140466241977	2057.0
g13410	g425	0.300632486904295	0.7402699023869671	4971.0
g13409	g426	0.0658650835233612	0.38215085100177815	1867.0
g13408	g427	0.0412475068105865	0.5867062203419644	461.0
g13407	g428	0.0675953876706939	0.619578760676673	415.0
g13406	g429	0.0450943854326979	0.364392883649137	3731.0
g13405	g430	0.029599082717798	0.26865916744321405	3666.0
g13404	g431	0.0779246962636136	0.9122964932433699	936.0
g13403	g434	0.1886539072714458	0.6255444069887559	5852.0
g13402	g435	0.0662351862148081	0.545577190528933	762.0
g13400	g437	0.161160959325968	0.7180790190529528	7396.0
g13398	g439	0.1425900012875647	0.530774078400192	2711.0
g13397	g440	0.1679297216514482	0.4964209777918807	4547.0
g13396	g441	0.1338591739591738	0.39619763868349256	4566.0
g13395	g442	0.0614567786147493	0.3201136744340499	1491.0
g13394	g443	0.1022697388159305	0.5272935483445496	5219.0
g13393	g444	0.0626450917219011	0.45484273914198814	948.0
g13392	g445	0.1241960722414808	0.49399575336658197	769.0
g13391	g446	0.1319179998477481	0.49747066305769816	1354.0
g13390	g447	0.0878455701751441	0.43691585630386254	1467.0
g13389	g448	0.0171763232150133	0.14970979042801175	791.0
g13388	g450	0.0546843394575961	0.4849703736937894	739.0
g13387	g451	0.0500827872140023	0.35656777253630595	1213.0
g13386	g453	0.0320878945325792	0.21167435076316227	3308.0
g13385	g454	0.0371133228476434	0.1921683163338464	2569.0
g13383	g455	0.0671295911273716	0.3488275308209217	1953.0
g13382	g456	0.082403454409301	0.47290019087396884	2800.0
g13381	g458	0.0226493350790335	0.24220806331512068	1865.0
g13374	g459	0.1951176972198741	0.6206336696162698	4966.0
g13375	g460	0.0563686170243023	0.605839911085021	1810.0
g13376	g461	0.023512897413057	0.37337882117938453	311.0
g13377	g462	0.3757460518226225	1.190503174075076	8115.0
g13378	g463	0.1286204386064184	0.626474105424965	1960.0
g13373	g464	0.1733871734052202	0.6390662165323772	6137.0
g13372	g465	0.0281123199410553	0.25651907496947945	1778.0
g13371	g466	0.377588409017881	0.7774326733114927	2055.0
g13370	g467	0.1896396675921088	0.5053715170145259	8005.0
g13369	g468	0.0905931514918383	0.34129653693565226	1855.0
g13368	g470	0.153947344527271	0.596030535532081	1462.0
g13366	g471	0.2859659708463018	0.7260367758057954	5798.0
g13365	g472	0.0274723875242428	0.24190732268118137	7946.0
g13862	g473	0.4802081877040526	1.0289837453600135	5033.0
g13364	g474	0.0413898116754681	0.2918369775799761	446.0
g13363	g475	0.213744599016266	0.7433733006370205	2953.0
g13362	g476	0.0367045717801664	0.4879406746058619	518.0
g13360	g477	0.0382391660496507	0.3627024843129807	722.0
g13359	g478	0.2471094008476817	0.7826101634800451	1178.0
g13358	g481	0.106789863751705	0.5209159802458688	2282.0
g13357	g482	0.0455854237688022	0.2526126199219474	6823.0
g13356	g484	0.0876033018019603	0.4048330842868187	3515.0
g13355	g485	0.0197032883492139	0.15969149793200374	5485.0
g13354	g486	0.1468084328445715	0.5246835531676768	1956.0
g13352	g487	0.1845876835371577	0.5246968830648591	3053.0
g13351	g488	0.0128130022928897	0.12025698755638453	1630.0
g13350	g489	0.0607619578200664	0.5828940574383591	791.0
g13349	g490	0.2213525422959247	0.5463995842560914	8248.0
g13348	g491	0.0912727012331398	0.2807071045618057	1590.0
g13347	g492	0.0495814197330181	0.341729406149025	2271.0
g13346	g493	0.0259593301101838	0.20937853708790424	1565.0
g13345	g494	0.0363707624539578	0.6734561949044688	255.0
g13344	g495	0.0414571190711938	0.3946392502956956	1291.0
g13343	g496	0.0739514826034046	0.37764474096328426	1195.0
g13342	g497	0.0377334904060281	0.2680093948229745	989.0
g13341	g498	0.0368377612237162	0.31034019858424244	956.0
g13340	g499	0.0587384200855637	0.4217306847008506	547.0
g13338	g501	0.1926391398981662	0.513093422220231	1519.0
g13337	g502	0.026618763445061	0.17560996849390553	1191.0
g13336	g503	0.0311733183159378	0.4561858025800942	795.0
g13335	g504	0.1957483746885423	0.6363198965089334	1732.0
g13334	g505	0.3052258034945245	0.549832828028837	2112.0
g13333	g506	0.0195748388283744	0.16999490003772424	7078.0
g13332	g507	0.0171804219564265	0.17619046387892226	696.0
g13331	g508	0.0575928599921579	0.49149215391945467	729.0
g13330	g509	0.0779511698214008	0.3471101999104781	3023.0
g13329	g510	0.1235664248070416	0.4862224607959452	499.0
g13328	g511	0.1222892922905866	0.5229212853832763	12579.0
g13326	g514	0.0285069944752381	0.6397047182204038	422.0
g13325	g515	0.0689219270888345	0.2126814678743456	992.0
g13324	g516	0.1449582492600386	0.4438918848816336	896.0
g13323	g517	0.2331703493224826	0.5579605467430511	2293.0
g13322	g518	0.0440307006200834	0.3141931961116269	922.0
g13321	g519	0.0596340471958002	0.2338080915919576	942.0
g13320	g520	0.1207676693362652	0.4071805040435147	1615.0
g13319	g521	0.092424480317961	0.31434596893896155	2151.0
g13318	g525	0.08599234833511	0.36205652044442876	13045.0
g13317	g526	0.0346481932491432	0.3747725498034609	692.0
g13316	g527	0.1851963422532388	0.5365109179051034	1528.0
g13315	g529	0.1119347288341263	0.703329465517541	680.0
g13314	g530	0.0621731110474281	0.4522470626742357	648.0
g13313	g531	0.0436713786748447	0.48139041462929594	776.0
g13312	g532	0.0150921369896377	0.2585426608071027	2855.0
g13311	g533	0.3072964124981784	0.7671660385765423	3476.0
g13310	g534	0.0476796030132092	0.694327106871524	561.0
g13309	g535	0.2672803321703326	0.7067339695484465	10826.0
g13308	g536	0.0809294991016015	0.3452856492782092	2322.0
g13307	g537	0.2265920674549314	0.8138239271260401	742.0
g13306	g538	0.0350754670818289	0.2965862473985199	1481.0
g13305	g539	0.2848437168466507	0.6741916693443831	3238.0
g13304	g540	0.3591597713460133	0.6821860080709732	3539.0
g13303	g542	0.2650335788331641	0.7186673381833772	8288.0
g13302	g543	0.0376254440385144	0.4293893945784979	831.0
g13301	g544	0.2124079137189889	0.6064473696525814	1110.0
g13300	g545	0.0958662128297934	0.35587510958301916	3998.0
g13299	g546	0.2125592906764131	0.6189346876421511	1267.0
g13298	g547	0.0690271992265581	0.4463144755377979	1456.0
g13297	g548	0.0288333981167682	0.4684383818419866	899.0
g13296	g549	0.0715066506075805	0.4445935254351239	3168.0
g13295	g550	0.0995580143924304	0.5088854433007097	3059.0
g13292	g551	0.2380811340777112	0.5797795068786993	1804.0
g13291	g552	0.0189883559882174	0.33320985924275376	1023.0
g13290	g553	0.041677388366108	0.2612300207011619	341.0
g13289	g554	0.0245521105487034	0.4357724118294294	621.0
g13288	g555	0.0353402446863021	0.2422390562032904	2859.0
g13287	g556	0.0809870482935684	0.4453310300600562	767.0
g13285	g557	0.2265690943903009	0.5877927177855535	2572.0
g13284	g558	0.039112094117558	0.4688806477303044	1036.0
g13283	g559	0.3030063327087752	0.5371821715159459	1077.0
g13282	g560	0.0738440721224854	0.45989536382276963	3915.0
g13281	g561	0.0750089266547444	0.3215150604168482	2327.0
g13280	g562	0.0447894260262167	0.27397429978712223	918.0
g13279	g563	0.01891055112275	0.17026062536261488	1622.0
g13278	g564	0.0038363255000777	0.1584818202504052	1195.0
g13277	g565	0.093412439707503	0.6442970264750925	1227.0
g13276	g566	0.1289617484837487	0.5041305428847499	1645.0
g13275	g567	0.0640198867133675	0.49340928129186556	694.0
g13274	g568	0.0361879236985499	0.26578822566273547	1584.0
g13273	g569	0.0887734500607747	0.5513335347442331	648.0
g13272	g570	0.0381229603320969	0.27867266732436224	1253.0
g13271	g571	0.0656962844618814	0.2648306037086793	2410.0
g13270	g572	0.0403943772545469	0.29769765424374534	1705.0
g13269	g574	0.0641007815178423	0.28039482651962494	1170.0
g13268	g575	0.9743311707724462	1.5366034291634592	3980.0
g13267	g576	0.0027598927188003	0.23665253291256386	1617.0
g13266	g577	0.065323656694853	0.27111908991312866	3184.0
g13263	g578	0.3715319086925974	0.7812261404441769	1461.0
g13262	g579	0.1353781798982901	0.5148268094789687	3552.0
g13261	g580	0.2529389377438309	0.5780112785541742	7113.0
g13260	g581	0.0494879121898161	0.1837806614877509	1310.0
g13259	g582	0.1290034423672667	0.27579358509398805	420.0
g13258	g583	0.0491979618643599	0.5393420002224046	409.0
g13257	g584	0.145608747506107	0.30215833840741013	3351.0
g13256	g585	0.1695698625389911	0.4743919190576329	742.0
g13255	g587	0.1221411887436647	0.3120748013233321	3503.0
g13254	g588	0.0527064564400729	0.42729561252279125	4219.0
g13252	g589	0.0340967805575679	0.4286939842366038	259.0
g13251	g590	0.0138732279313668	0.32821666480702166	429.0
g13250	g591	0.2675500304437635	0.7329676694533593	6311.0
g13249	g592	0.0758177288989679	0.30586146408983844	11303.0
g13248	g593	0.151391314930724	0.5982899883596419	1872.0
g13247	g594	0.1763398067706941	0.5557524013031852	559.0
g13246	g595	0.2576358894349693	0.6098298717291932	615.0
g13245	g596	0.0728245285964717	0.301219748850749	2459.0
g13244	g598	0.0413967785040749	0.5624118697956095	1535.0
g13243	g599	0.0453702023595652	0.2799031844174572	1008.0
g13242	g600	0.0537479193855276	0.284808116693326	3768.0
g13241	g601	0.0291885208541603	0.22098805632590562	1558.0
g13239	g603	0.130005371025009	0.4231073662268607	2290.0
g13238	g604	0.2921418926177986	0.685284227464658	2588.0
g13237	g605	0.0348547565965417	0.2726256817568492	3042.0
g13236	g606	0.0335814346829626	0.6312390862309727	928.0
g13235	g607	0.0542979753964328	0.5894630255554614	3877.0
g13231	g608	0.0741258093951409	0.5795102505617469	2316.0
g13230	g609	0.0155285050212683	0.20119798994600957	1501.0
g13229	g610	0.0715287333811784	0.3981020897717835	2497.0
g13228	g611	0.0451943936386476	0.34755220891078753	879.0
g13227	g612	0.2008317790012336	0.6120339876623245	2607.0
g13226	g614	0.0885582440898226	0.4608552750874434	23348.0
g13225	g615	0.1556078602535979	0.532899913475909	4758.0
g13224	g616	0.0442933122327008	0.8453892458341243	428.0
g13223	g617	0.0502630467347699	0.42918927895495107	2293.0
g13222	g618	0.0984217933764786	0.6298048235759125	15737.0
g13221	g619	0.0268685448886086	0.5149743746540637	555.0
g13220	g620	0.0054844851347149	0.4279086438507096	279.0
g13219	g621	0.0468145484022663	0.27838202597214917	1987.0
g13218	g623	0.0590990957582618	0.4064674067708729	1396.0
g13217	g624	0.0764608609759774	0.3590972858952854	3329.0
g13216	g625	0.0945239130928433	0.48366659240066157	1774.0
g13215	g626	0.1546963232549722	0.7844764163870159	1008.0
g13214	g627	0.0132162010123646	0.30409883108112323	690.0
g13213	g628	0.1801524021418765	0.6658765447433338	832.0
g13212	g630	0.0317928394613457	0.3822284813777508	1904.0
g13211	g631	0.0320618720443119	0.613832549675334	1705.0
g13210	g632	0.0310306788233872	0.4059655893594321	2009.0
g13209	g633	0.0037831101650085	0.2227383488355708	1180.0
g13208	g634	0.1622459435843622	0.6278494414577647	510.0
g13207	g635	0.0247547223511274	0.4273640606144678	1822.0
g13205	g636	0.1238727171206982	0.3765827693667341	3501.0
g13204	g637	0.0600004178655187	0.20438045582440934	1026.0
g13203	g638	0.0750903830170027	0.28942567684634996	4372.0
g13201	g640	0.1629121661464914	0.5012753636710936	1242.0
g13200	g641	0.1520177364796206	0.48132103763465783	4364.0
g13198	g643	0.0185080335700321	0.1640753825358081	1627.0
g13197	g644	0.0605074082616877	0.24858532531390487	2073.0
g13196	g645	0.0350275904815735	0.23023461179745067	3468.0
g13194	g646	0.0986178115404478	0.32821666480702166	439.0
g13195	g647	0.194257480309972	0.44916185936788	4293.0
g13193	g648	0.1179947861213656	0.2238697414169974	626.0
g13192	g649	0.0244321278259595	0.21189247166766195	3207.0
g13191	g650	0.1265170560029227	0.3943502531123338	2514.0
