MALA	JG05	k0	k4	sites
Mal24_g14752	JG24_g205	0.0929621629290356	1.1504477699444664	282
Mal24_g14751	JG24_g206	0.2167648200193837	0.5361653753972634	2196
Mal24_g14746	JG24_g211	0.0468178715842019	0.3180311202608249	6213
Mal24_g14745	JG24_g212	0.0274540455799601	0.29325526869970076	1185
Mal24_g14744	JG24_g213	0.0338085407384936	0.5371821715159459	550
Mal24_g14743	JG24_g214	0.0837779921850009	0.556453008547033	240
Mal24_g14741	JG24_g216	0.0979651368127981	0.5198603854199589	760
Mal24_g14740	JG24_g217	0.1034140125543819	0.7030081058039904	865
Mal24_g14739	JG24_g218	0.0089821432850367	-0.0	348
Mal24_g14738	JG24_g219	0.0274504564836347	0.26642473696637325	1712
Mal24_g14737	JG24_g220	0.0397683512311652	0.3435816311951898	864
Mal24_g14736	JG24_g221	0.1199892021389185	0.5393420002224046	1480
Mal24_g14735	JG24_g222	0.0720734186569306	0.7087698157918577	2123
Mal24_g14734	JG24_g223	0.1383627898488373	0.7342296987798259	1399
Mal24_g14733	JG24_g224	0.0330449923455229	0.2979763481017525	1441
Mal24_g14732	JG24_g225	0.2123434665828945	0.6942406575192221	11663
Mal24_g14731	JG24_g226	0.0409658133601689	0.4279086438507096	463
Mal24_g14730	JG24_g227	0.2175769204766404	0.6879493995242709	1764
Mal24_g14729	JG24_g228	0.0738733759095904	0.3802009262047681	914
Mal24_g14726	JG24_g231	0.1014761089806207	0.6719383598303879	4446
Mal24_g14724	JG24_g232	0.0604353649945044	0.5921308354716915	708
Mal24_g14722	JG24_g234	0.0753456127890198	0.7997635698374161	874
Mal24_g14721	JG24_g236	0.109245078053353	0.5495570974834039	3852
Mal24_g14720	JG24_g237	0.1002570686839512	0.548111866039137	17588
Mal24_g14719	JG24_g238	0.0409828795656695	0.3847390888645653	1574
Mal24_g14718	JG24_g239	0.1388291080252704	0.44965565171077365	3703
Mal24_g14717	JG24_g240	0.0230344400156473	0.22219936210737928	799
Mal24_g14716	JG24_g241	0.0856850890833004	0.23075052362402837	765
Mal24_g14714	JG24_g242	0.0429670743827224	0.20597576779447904	2733
Mal24_g14713	JG24_g243	-0.0	0.27579358509398805	286
Mal24_g14712	JG24_g244	0.2807249857591315	0.744853704055334	3860
Mal24_g14711	JG24_g245	0.2432546724718469	0.7526026214767211	2181
Mal24_g14710	JG24_g246	0.1572516395481372	0.4787694289033136	2019
Mal24_g14709	JG24_g247	0.1021576536259117	2.4377808689456777	262
Mal24_g14708	JG24_g248	0.0403027358870497	0.2983516765219464	1288
Mal24_g14707	JG24_g249	0.1439404797260152	0.5310047212227713	1011
Mal24_g14706	JG24_g251	0.0319488523057564	0.2658469152418439	1691
Mal24_g14705	JG24_g253	0.1561815577510589	0.6245789685985332	1164
Mal24_g14704	JG24_g256	0.0421552721280627	0.25650356564320387	1448
Mal24_g14703	JG24_g257	0.0461684197495749	0.25022953015268157	1631
Mal24_g14702	JG24_g258	0.0507593239355004	0.49747066305769816	234
Mal24_g14701	JG24_g259	0.085020155014786	0.3578059803647158	642
Mal24_g14700	JG24_g260	0.1013810837761894	0.5494632095854314	1227
Mal24_g14699	JG24_g261	0.0789969854422554	0.390592902177086	1878
Mal24_g14698	JG24_g262	0.0051791315002209	0.1752111383861289	1225
Mal24_g14697	JG24_g263	0.1235133114808858	0.5764088985331177	876
Mal24_g14695	JG24_g264	0.0043509911730648	0.2085499603142542	2095
Mal24_g14694	JG24_g265	0.3159613826118221	0.8794422524232863	2553
Mal24_g14692	JG24_g267	0.0149372995580679	0.31300982699618773	1324
Mal24_g14691	JG24_g269	0.0292939977516802	0.4496184456387352	1372
Mal24_g14690	JG24_g270	0.0079576343340116	0.4677158384335013	1153
Mal24_g14689	JG24_g272	0.036688537188206	0.330589485391816	1769
Mal24_g14688	JG24_g273	0.0206909673891217	0.5893049755408277	538
Mal24_g14687	JG24_g274	0.0928271558829908	0.5716050390351726	1141
Mal24_g14683	JG24_g275	0.1211555275365665	0.5614697496601305	883
Mal24_g14680	JG24_g276	0.0971474715902598	0.41721599838206114	1275
Mal24_g14679	JG24_g277	0.0491652632475062	0.43949289458744323	2381
Mal24_g14677	JG24_g278	0.0196286995825838	0.1279691377730725	1031
Mal24_g14678	JG24_g279	0.0893849624799936	0.5925488083142754	1544
Mal24_g14676	JG24_g280	0.0235544383031504	0.3505053838696889	1025
Mal24_g14675	JG24_g281	0.0431268527014472	0.41918385782522144	1633
Mal24_g14673	JG24_g283	0.1922604462459123	0.917831573716587	2019
Mal24_g14672	JG24_g284	0.098130633788777	0.5773059874027051	4481
Mal24_g14670	JG24_g285	0.1016341629079987	0.6425589463374388	3494
Mal24_g14669	JG24_g286	0.0433485033927963	0.5380107373922862	1133
Mal24_g14668	JG24_g287	0.1538956638449594	0.6537766909188172	9826
Mal24_g14667	JG24_g288	0.1251268795159305	0.5198603854199589	1268
Mal24_g14666	JG24_g289	0.0657637533743279	0.5161382934133621	404
Mal24_g14665	JG24_g290	0.0772172915323563	0.6562936080306018	2165
Mal24_g14664	JG24_g291	0.0085228189877363	0.5409885431449813	536
Mal24_g14663	JG24_g292	0.0118932125500044	0.18623356726585244	1542
Mal24_g14662	JG24_g293	0.0072029365156353	0.35656777253630595	421
Mal24_g14661	JG24_g294	0.0300040009602743	0.7449388297577126	203
Mal24_g14660	JG24_g295	0.0590694167136941	0.453392592943232	1145
Mal24_g14659	JG24_g296	0.0857758661349725	0.4660086895880763	3039
Mal24_g14658	JG24_g297	0.0123969764634079	0.2403539214560788	2610
Mal24_g14657	JG24_g298	0.1966504013863527	0.7992476788107752	4369
Mal24_g14656	JG24_g299	0.0493849243481898	0.5988807721633287	418
Mal24_g14655	JG24_g300	0.0646700938058407	0.4212759708198331	5980
Mal24_g14654	JG24_g301	0.158066791591309	0.6906871025814459	7792
Mal24_g14653	JG24_g302	0.0753409559152413	0.4454875735797229	1301
Mal24_g14652	JG24_g303	0.038494657678636	0.3944518510218299	811
Mal24_g14650	JG24_g305	0.041447009006287	0.4673914439647763	1322
Mal24_g14649	JG24_g307	0.0045385917625164	0.5464454471667697	338
Mal24_g14648	JG24_g308	0.0394049912126583	0.39447692540918144	9496
Mal24_g14647	JG24_g310	0.0510492432733194	0.8585807478234541	588
Mal24_g14646	JG24_g311	0.0741343759774744	0.5419672490196743	1188
Mal24_g14645	JG24_g312	0.0124484185567783	0.38990659446443154	998
Mal24_g14643	JG24_g313	0.0468414427896906	0.44483734324910007	1556
Mal24_g14641	JG24_g315	0.1853978086135186	0.5040703285215846	879
Mal24_g14640	JG24_g316	0.0363854694177056	0.3389888428072928	1927
Mal24_g14639	JG24_g317	0.0431408550708183	0.5913430202732027	1218
Mal24_g14637	JG24_g319	0.0693731422698073	0.4882063561450386	2579
Mal24_g14636	JG24_g320	0.1072245136795226	0.6998906492007249	1777
Mal24_g14635	JG24_g321	0.0176478730576456	0.2996999914918247	1299
Mal24_g14634	JG24_g322	0.0762477403323751	0.513252413158343	1225
Mal24_g14633	JG24_g323	0.0028463032264137	0.34597688834474954	1628
Mal24_g14632	JG24_g324	0.0008415148147916	0.5051058112209305	1797
Mal24_g14631	JG24_g327	0.0711364543716763	0.655342106875635	1107
Mal24_g14630	JG24_g328	0.1051977481528055	0.614983379071349	4517
Mal24_g14629	JG24_g329	-0.0	0.027526025137820945	189
Mal24_g14628	JG24_g330	0.0489515687830516	0.47304716324363383	2818
Mal24_g14627	JG24_g331	0.0831505794832966	0.7686062355635611	2233
Mal24_g14626	JG24_g332	0.0625362067042882	0.6986686530037076	620
Mal24_g14624	JG24_g333	0.0134532755150004	0.6125708523953415	1640
Mal24_g14623	JG24_g334	0.1019186656582613	0.7533943871876261	1239
Mal24_g14622	JG24_g335	0.383910059202281	1.0763133939669918	4582
Mal24_g13664	JG24_g358	0.0719285835937132	0.4750865097197815	1134
Mal24_g3744	JG24_g359	0.0498108321742553	0.6473666078404073	633
Mal24_g13665	JG24_g360	0.0737588126246092	0.6881728548907148	755
Mal24_g13666	JG24_g361	0.0485157560185733	0.5426159232094632	719
Mal24_g13667	JG24_g363	0.0654687836430059	0.5746292366811265	1491
Mal24_g13668	JG24_g364	0.0141380246780982	0.5288425287049957	1091
Mal24_g13670	JG24_g365	0.0349917687305995	0.7627006932403819	531
Mal24_g13671	JG24_g366	0.028420179708914	0.5913430202732027	379
Mal24_g13672	JG24_g367	0.0129771228127125	0.3699305392429125	2629
Mal24_g13673	JG24_g369	0.1353406069643694	0.8477707402370176	677
Mal24_g13674	JG24_g370	0.0411061773712462	0.7336011179605795	1945
Mal24_g13676	JG24_g371	0.0485606470456186	0.36935736382334555	488
Mal24_g13677	JG24_g372	0.0459246342461649	0.532858977683689	999
Mal24_g13678	JG24_g373	0.0043302660708197	0.33994182895838454	1751
Mal24_g13679	JG24_g374	0.0094045119395514	0.26455478897951606	974
Mal24_g13693	JG24_g375	0.0087210284963393	0.20321439121436202	1038
Mal24_g13692	JG24_g376	0.0981072275917809	0.5576077431862276	2343
Mal24_g13691	JG24_g377	0.2541439031888649	0.7459841260941655	4514
Mal24_g13690	JG24_g378	0.0721898133875614	0.3648661045252263	4121
Mal24_g13688	JG24_g379	0.1604709914904837	0.5768498156534005	831
Mal24_g13687	JG24_g380	0.1942998038139179	0.8548459339758937	1554
Mal24_g13686	JG24_g381	0.0585227361717654	0.8568111834948767	1597
Mal24_g13684	JG24_g382	0.0654403729661704	0.6053185799318723	1166
Mal24_g13682	JG24_g383	0.0390205029964911	0.3159387855291039	2035
Mal24_g13681	JG24_g384	0.0490856002094371	0.5762779513481497	1379
Mal24_g13680	JG24_g385	0.1124147107806005	0.7102403644506661	2873
Mal24_g13694	JG24_g386	0.1923123601236011	0.6371294820797726	1846
Mal24_g13695	JG24_g387	0.0648083256334398	0.30805662390675603	3470
Mal24_g13696	JG24_g388	0.0807625478054744	0.6473666078404073	645
Mal24_g13697	JG24_g389	0.0696500132938867	0.6327900292794899	655
Mal24_g13699	JG24_g390	0.0676162838194479	0.48406183330406644	2513
Mal24_g13700	JG24_g391	0.0491025693239279	0.29516531993611217	2457
Mal24_g13702	JG24_g393	0.336295720832776	0.7925174867113847	1655
Mal24_g13703	JG24_g394	0.0555809791152913	0.3837782688335096	1137
Mal24_g13698	JG24_g396	0.3750518256753911	0.5842022344057736	1954
Mal24_g13704	JG24_g397	0.0302407309322539	0.2165870910209748	1192
Mal24_g13705	JG24_g398	0.226595623229628	0.7199466758506193	1211
Mal24_g13706	JG24_g399	0.2200108574905937	0.6764264958165416	1814
Mal24_g13707	JG24_g400	0.0167293181357237	0.5024582126102111	831
Mal24_g13708	JG24_g401	0.1150576599746509	0.5369167757971058	3830
Mal24_g13709	JG24_g403	0.1112188561557324	0.6757515295192985	646
Mal24_g13710	JG24_g404	0.0542609435735892	0.4242990112146441	1409
Mal24_g13711	JG24_g405	0.2085204014507296	0.5560872440920879	1885
Mal24_g13712	JG24_g406	0.0601475054664187	0.41760805275586044	1934
Mal24_g13713	JG24_g407	0.0516040593697929	0.31925086156926286	571
Mal24_g13714	JG24_g408	0.0320126188352749	0.26499839141377834	1573
Mal24_g13715	JG24_g409	0.3720597336476915	0.8197634013620889	5850
Mal24_g13716	JG24_g410	0.1795627353688797	0.6390662165323772	4875
Mal24_g13717	JG24_g411	0.3087047820976851	0.9127725326119382	777
Mal24_g13718	JG24_g412	0.1402848798919556	0.5308094849858235	459
Mal24_g13719	JG24_g413	0.1278429866437224	0.7166335837705773	849
Mal24_g13720	JG24_g414	0.0852242192962932	0.5902685215220809	883
Mal24_g13721	JG24_g415	0.112642708958371	0.7112475642140789	606
Mal24_g13722	JG24_g416	0.0291511068604875	0.24743759251685055	2164
Mal24_g13723	JG24_g417	0.2170854734822626	0.7484987973518986	1580
Mal24_g13724	JG24_g418	0.0679343406692606	0.3464298142598371	1514
Mal24_g13725	JG24_g419	0.1150065540173801	0.46094170446103033	3320
Mal24_g13727	JG24_g420	0.2257483863206647	0.8892177492433048	1018
Mal24_g13728	JG24_g421	0.2364741053934408	0.8884643589238006	4338
Mal24_g13729	JG24_g422	0.0068104894768098	0.4632297210388501	915
Mal24_g13730	JG24_g423	0.0428688103799614	0.5862754334260427	397
Mal24_g13731	JG24_g424	0.0816255392532377	0.5090688323308842	1148
Mal24_g13733	JG24_g427	0.1206132567125506	0.4835769189553726	5621
Mal24_g13735	JG24_g428	0.0241160710667744	0.22443217113964264	1381
Mal24_g13736	JG24_g429	0.0739514826034046	0.41870983679451024	959
Mal24_g13737	JG24_g430	0.0534033347188437	0.7945436816361213	597
Mal24_g13738	JG24_g431	0.1050665948780112	0.7377990095022658	544
Mal24_g13739	JG24_g432	0.0691366042807303	0.36951780879133356	1848
Mal24_g13740	JG24_g433	0.0480445369268239	0.34597688834474954	1318
Mal24_g13741	JG24_g434	0.1235198572258243	0.332869481985458	980
Mal24_g13742	JG24_g435	0.2711506341618283	0.7653356368640802	517
Mal24_g13743	JG24_g436	0.0340462993029214	0.28614367542161706	1064
Mal24_g13745	JG24_g438	0.0617808301370871	0.33773675570513717	2264
Mal24_g13746	JG24_g439	0.0193559129669044	0.3875180574137914	477
Mal24_g13755	JG24_g446	0.1564941865782358	0.5315610907518188	2932
Mal24_g13754	JG24_g447	0.1202569875563845	0.4178202888770345	1151
Mal24_g7880	JG24_g448	0.2905360745061518	0.5210808901644907	1046
Mal24_g13753	JG24_g450	0.3015958490202346	0.7588673689467892	1635
Mal24_g13752	JG24_g452	0.0544131679939317	0.30629502591543956	1633
Mal24_g13751	JG24_g453	0.1769054334559766	0.5598343217132303	1367
Mal24_g13750	JG24_g454	0.0406503426732596	0.26854715191018547	2133
Mal24_g13749	JG24_g455	0.0540116578601531	0.3090276549535492	1074
Mal24_g13748	JG24_g456	0.0371757513150605	0.4217306847008506	293
Mal24_g13757	JG24_g458	0.0760236396668697	0.6289016117311632	4386
Mal24_g13758	JG24_g459	0.041439539519142	0.3355231326692013	1732
Mal24_g13760	JG24_g461	0.0531195394264592	0.4452323977611238	660
Mal24_g13761	JG24_g462	0.0958750286324136	0.39129368566801975	454
Mal24_g13762	JG24_g463	0.1461990482894131	0.3881868046716528	1222
Mal24_g13763	JG24_g464	0.1270107477376992	0.5533624371218393	2257
Mal24_g13764	JG24_g465	0.2584251944261758	0.6978867921041269	1338
Mal24_g13766	JG24_g466	0.021192126337795	0.23016320957678765	502
Mal24_g13767	JG24_g467	0.044331084190807	0.41368771217861877	961
Mal24_g13768	JG24_g468	0.0268227819634282	0.18891710356874003	2419
Mal24_g13769	JG24_g470	0.0844688822169258	0.41155500075391244	1090
Mal24_g13770	JG24_g471	0.111120618338775	0.580463409731431	1302
Mal24_g13771	JG24_g472	0.0902571161200036	0.47443430031947564	1484
Mal24_g13773	JG24_g474	0.073832188975357	0.4653034370481347	6198
Mal24_g13774	JG24_g475	0.0895494961754136	0.4553507294249288	1754
Mal24_g13775	JG24_g476	0.0547453244327388	0.9815128188112252	496
Mal24_g13776	JG24_g479	0.076593964329733	0.4048288460528625	2638
Mal24_g13777	JG24_g480	0.1451176936183892	0.6611032250361955	11480
Mal24_g13779	JG24_g481	0.1132073751070286	0.5771197697641166	2153
Mal24_g13781	JG24_g483	0.1058089486949291	0.34696764146108483	933
Mal24_g13782	JG24_g484	0.0695942578589878	0.41212835874832665	2052
Mal24_g13785	JG24_g492	0.0252124580992387	0.4358565916375877	1868
Mal24_g13786	JG24_g494	0.0187119892859614	0.44589903978123785	747
Mal24_g13787	JG24_g495	0.3428822259232535	0.9410932814907323	6466
Mal24_g13788	JG24_g497	0.2529786571023214	0.8399637035273289	8631
Mal24_g13789	JG24_g498	0.0764451808095579	0.3737978741306413	1114
Mal24_g13791	JG24_g500	0.0860219496554239	0.3088607518401174	439
Mal24_g13796	JG24_g501	0.2780298560572427	0.684550589069481	1950
Mal24_g13795	JG24_g502	0.2433548876004717	0.7516140168604105	746
Mal24_g13793	JG24_g506	0.0269490069195474	0.3641308618362756	520
Mal24_g13797	JG24_g507	0.0548368143941951	0.510444520560512	1651
Mal24_g13798	JG24_g508	0.0057859496214977	0.2864509580234777	517
Mal24_g13802	JG24_g510	0.167121405805329	0.45841034834794436	3238
Mal24_g13803	JG24_g511	0.0360759558021136	0.28856317779045093	2048
Mal24_g13804	JG24_g513	0.0515494004358229	0.35103971464302464	1263
Mal24_g13805	JG24_g514	0.0674198021817073	0.47209452097701515	1313
Mal24_g13806	JG24_g516	0.0543922343211097	0.27907838176047745	1932
Mal24_g13807	JG24_g517	0.1054994111438415	0.5568541853418351	1854
Mal24_g13809	JG24_g518	0.1890125066255825	0.6383156535475447	1248
Mal24_g13810	JG24_g519	0.1476669248541749	0.5818791723037939	1767
