CREN	CINC	k0	k4	sites
Cre16.g691103	g182	0.0462701767540049	0.8614670319320784	239.0
Cre16.g802017	g183	0.1635016138603433	0.4092088048885547	595.0
Cre16.g691215	g184	0.0189028907724676	0.3453936639683938	577.0
Cre16.g691327	g185	0.3028414963356839	0.6438152406390876	1836.0
Cre16.g691440	g186	0.0400428704234231	0.3319068944182979	5798.0
Cre16.g691552	g187	0.0759220585393464	0.3638493831315267	1577.0
Cre16.g691776	g188	0.087916990936949	0.6200089298883509	690.0
Cre16.g692116	g191	0.0617748447772772	0.5393420002224046	1718.0
Cre16.g692228	g192	0.0923407024966558	0.4514035535878935	2730.0
Cre14.g801625	g195	0.1737933189546123	0.4314256491232492	2358.0
Cre14.g620750	g196	0.2659909167783025	0.797793772250752	788.0
Cre14.g620800	g197	0.3127463769927763	0.5260332597723457	4378.0
Cre14.g620850	g198	0.0506436013009951	0.3437792782551572	1601.0
Cre14.g620951	g200	0.1501944431104664	0.5490892768440292	1684.0
Cre14.g621000	g201	0.0279101972553257	0.2395526618561255	2324.0
Cre14.g621050	g202	0.2779029202864395	0.6286829460070282	3336.0
Cre14.g621100	g203	0.2010355511983186	0.57299104081562	2891.0
Cre14.g621150	g204	0.2657599906343559	1.2070784343255752	226.0
Cre14.g621200	g205	0.3051250570109051	0.9312848492315872	1709.0
Cre14.g621250	g206	0.057793335752027	0.4079510867799522	1239.0
Cre14.g621300	g208	0.0458614609903148	0.2403933235943106	805.0
Cre14.g621351	g209	0.1054436289418383	0.4799148430526622	4045.0
Cre14.g621400	g210	0.1799142993429625	0.5388857958287763	1638.0
Cre14.g621450	g211	0.0232438149812532	0.1211696740091441	874.0
Cre14.g621475	g212	0.140103325003136	0.4831047010899379	974.0
Cre14.g801627	g213	0.1680300077709351	0.2559773729181589	408.0
Cre14.g621501	g214	0.2990839196848222	0.6922553494171015	6312.0
Cre14.g621600	g215	0.1069969736542552	0.4154138349198283	546.0
Cre14.g621650	g216	0.0132356376101836	0.228596534975732	1033.0
Cre14.g621700	g218	0.0681691630360759	0.3831192178244929	2434.0
Cre14.g621751	g219	0.0577570355047837	0.3976626098104808	2561.0
Cre14.g621800	g220	0.1636901745150134	0.5382500983006978	1557.0
Cre14.g621850	g221	0.1308572714282725	0.3048330455303614	2430.0
Cre14.g622000	g222	0.3959755707752633	0.7838386527728576	8171.0
Cre14.g622050	g223	0.0883372767422876	0.4893308510928542	1757.0
Cre10.g423050	g227	0.5438799054595153	1.5148269076450784	528.0
Cre07.g347650	g233	0.1002025771041273	0.5266477620598975	1004.0
Cre07.g347600	g234	0.1370202027571145	0.4224824388566737	4952.0
Cre07.g347550	g236	0.1823657556638987	0.560310224733116	6716.0
Cre07.g347500	g237	0.1524435142703265	0.3843367505594112	2991.0
Cre07.g347400	g238	0.0572484886450531	0.371608491076163	1545.0
Cre07.g347350	g239	0.055547766086922	0.22978065409795	926.0
Cre07.g347200	g240	0.2097717906143482	0.5221574775678685	594.0
Cre07.g347150	g241	0.0548416986217219	0.2538942190747913	650.0
Cre07.g347100	g242	0.0385405889348702	0.2992444452019101	841.0
Cre07.g347050	g243	0.0061754157044197	0.1812042106154588	1229.0
Cre07.g347000	g244	0.17477352789852	0.5176115081727667	4703.0
Cre10.g465000	g271	0.1919013106387412	0.3128708609035167	1643.0
Cre04.g231124	g273	0.0206909673891217	0.1673576634856572	215.0
Cre04.g231222	g274	0.0170819490585365	0.1632521543536363	1699.0
Cre04.g231516	g275	0.0340725729531504	0.2451164855917884	2262.0
Cre04.g231614	g276	0.1870599652679112	0.5666809343550726	1657.0
Cre04.g800503	g277	0.1347138349298774	0.4095038481653729	1041.0
Cre04.g232006	g279	0.1715777433912935	0.5548360478057317	1242.0
Cre04.g232104	g280	0.0121460144399854	0.0834192263326682	767.0
Cre04.g232202	g281	0.0978967078432539	0.4383637273391585	9618.0
Cre07.g316150	g285	0.3338576939447554	0.6860721357720764	2778.0
Cre04.g232402	g287	0.1723593203240719	0.3578059803647158	3374.0
Cre04.g232502	g290	0.2305760725625794	0.5599768991331986	5410.0
Cre04.g232602	g291	0.0478522174189628	0.488876632524143	1159.0
Cre04.g232702	g292	0.2646611749764604	0.4708011865303329	2017.0
Cre04.g232802	g293	0.0911271125691865	0.3485309562532688	941.0
Cre04.g233003	g294	0.1527181031233671	0.5273729691025624	1338.0
Cre04.g232902	g295	0.0528853382457435	0.4408399986765892	365.0
Cre04.g233102	g296	0.1372135093765867	0.4701733462640586	2953.0
Cre04.g233202	g297	0.0941130697265975	0.4333539727080672	1736.0
Cre04.g222950	g304	0.0728911422498164	0.3492104660989974	1258.0
Cre04.g223000	g305	0.101294776021822	0.3757995954963092	11694.0
Cre04.g223050	g307	0.0633287393599308	0.3514830072972719	1118.0
Cre04.g223300	g309	0.0332584610541507	0.3205830111202047	1054.0
Cre04.g223350	g310	0.1706043428425493	0.5783847462184664	2687.0
Cre04.g223400	g311	0.1002909491224313	0.4530780324454681	4248.0
Cre04.g223450	g312	0.0880129524129093	0.3327395724887491	1800.0
Cre04.g223500	g313	0.4072273601128412	0.91419667160969	4342.0
Cre04.g223550	g314	0.118050147391759	0.5659029445697891	5128.0
Cre04.g223600	g315	0.145327995282456	0.5047693330203931	2982.0
Cre04.g223700	g318	0.0201805896899432	0.3379391575414755	694.0
Cre04.g223750	g319	0.1705055080371806	0.4985079179555033	2698.0
Cre04.g223800	g320	0.0521042796110755	0.3831192178244929	448.0
Cre04.g223850	g321	0.0028708169023233	0.235686824877377	1060.0
Cre04.g223900	g322	0.0786678018053882	0.5256235992485466	2101.0
Cre04.g224002	g327	0.161033363842209	0.6156633817818602	2696.0
Cre04.g224100	g329	0.0950637792293579	0.4590859028635379	1043.0
Cre04.g224150	g330	0.0609952452715468	0.3187002007515741	1858.0
Cre04.g224200	g333	0.0568785572936283	0.2871935323415653	3221.0
Cre04.g224250	g334	0.038231793267015	0.311163247518492	2905.0
Cre04.g224300	g335	0.0684057454822606	0.5542632259695319	1000.0
Cre04.g224350	g336	0.0535145205423254	0.544452752537202	1041.0
Cre04.g224400	g337	0.0581228693911319	0.3724479823742421	5212.0
Cre04.g800477	g339	0.3856755915632212	0.6333328301555811	1316.0
Cre04.g224500	g341	0.0611588270018218	0.3021173239839942	4832.0
Cre04.g224550	g342	0.0652585327422223	0.3949072797460504	1332.0
Cre04.g224600	g343	0.230009938593156	0.6536914394268245	2087.0
Cre04.g224650	g344	0.1631354954639938	0.5113419665366518	1545.0
Cre04.g224700	g345	0.0408921886194889	0.3290417473984851	2053.0
Cre04.g224750	g346	0.0023346322353676	0.1904911699989812	651.0
Cre04.g224800	g347	0.0741343759774744	0.3040988310811232	654.0
Cre04.g225000	g350	0.2663410434225048	0.7984713268893833	8152.0
Cre04.g225050	g351	0.0324374878453624	0.2846172162786777	382.0
Cre11.g478050	g353	0.454587940731084	0.7490356015515925	4682.0
Cre04.g800482	g354	0.318528960136362	0.6108431675507228	873.0
Cre04.g225200	g355	0.165602690263026	0.6661829466319671	3430.0
Cre04.g225350	g356	0.077835147149113	0.441912193283785	2364.0
Cre04.g225400	g357	0.069939982059318	0.3119523059815947	935.0
Cre04.g225600	g358	0.043490443237762	0.5136875110675723	755.0
Cre04.g225650	g359	0.0503414726633548	0.1910720306698665	404.0
Cre04.g225700	g360	0.0670959029252699	0.3637633048575885	751.0
Cre04.g225750	g362	0.0179572494297023	0.3244956381874909	1202.0
Cre04.g225850	g364	0.0310801442480246	0.2950078106818646	657.0
Cre04.g225950	g366	0.0838479066440976	0.4108109668449044	2824.0
Cre04.g226001	g367	0.1863098042103412	0.4821925927406761	2770.0
Cre04.g226050	g370	0.0442370834188882	0.3636013877585141	2177.0
Cre04.g226150	g371	0.0753320872731338	0.2907148108411155	1778.0
Cre06.g289950	g373	0.0195101230603409	0.3065220965172081	3211.0
Cre06.g289900	g374	0.2337867759023296	0.6049153812123973	2178.0
Cre06.g289850	g375	0.0439413779605751	0.282358178426184	2276.0
Cre06.g289800	g376	0.0340001559761408	0.3541792354856662	1098.0
Cre06.g289750	g377	0.0486896595744867	0.4300094855604934	1102.0
Cre06.g289700	g378	0.0040927795972936	0.3516260415305652	376.0
Cre06.g289650	g379	0.1287384606654821	0.4510790655528348	2131.0
Cre06.g289600	g380	0.1007423119882463	0.3999866855978819	5372.0
Cre06.g289550	g381	0.0152483015876877	0.0476350542917443	394.0
Cre06.g289500	g382	0.0652585327422223	0.3313745642092795	515.0
Cre06.g800708	g383	0.1859788550881622	0.5458903952440837	2384.0
Cre06.g289400	g385	0.0989300226731405	0.434754772595962	4461.0
Cre06.g289350	g386	0.0833845843003295	0.3612198518052963	1369.0
Cre06.g289300	g387	0.3933933510931144	0.5579060280522027	679.0
Cre06.g800706	g388	0.1663719413771001	0.409562197463752	1073.0
Cre06.g289150	g389	0.1246340931924135	0.4266215633681285	2004.0
Cre06.g289100	g391	0.2137691142174133	0.5854836154706073	851.0
Cre06.g289033	g392	0.1774732585929659	0.4618203877083939	1147.0
Cre06.g289000	g393	0.1141292419796289	0.3935775546184679	7323.0
Cre06.g288950	g394	0.151911661667265	0.4783478141075851	1273.0
Cre06.g288908	g395	0.1199228281011058	0.4430863500376589	2411.0
Cre06.g288850	g397	0.1103952140958197	0.5085819773965536	867.0
Cre06.g800703	g400	0.029904293435533	0.2588914613271781	917.0
Cre06.g288650	g401	0.0852565243832725	0.3096612793224105	1792.0
Cre06.g288600	g402	0.1763939173727882	0.6118679850056041	4059.0
Cre06.g288550	g404	0.0566125427487113	0.3766296841343455	1664.0
Cre06.g288500	g405	0.0124140765215489	0.2783820259721491	1091.0
Cre06.g288450	g406	0.0263540626997806	0.2803558411781045	791.0
Cre06.g288400	g407	0.0825006714107463	0.3786281864410259	694.0
Cre06.g288350	g408	0.0586674361295748	0.3977733252167307	1875.0
Cre06.g800702	g409	0.1524637337978692	0.6008252020412594	1505.0
Cre06.g288150	g411	0.0492543358872367	0.2550617616339844	1362.0
Cre06.g288100	g412	0.0514690365361027	0.4053760439340804	1772.0
Cre06.g288050	g413	0.0293435958691741	0.3165644920081537	868.0
Cre06.g288000	g416	0.3080344706877071	0.6374641064790573	2183.0
Cre06.g287950	g417	0.2090986987332478	0.496519514947445	9778.0
Cre06.g287900	g418	0.1746986682602794	0.3810473933025603	1066.0
Cre06.g287850	g419	0.1487593118396096	0.5100563242444445	2497.0
Cre06.g287800	g420	0.0702641130579922	0.3973495554388271	989.0
Cre06.g287750	g421	0.0875842106243668	0.3264885534433842	1338.0
Cre06.g287100	g422	0.0038709763351691	0.1772915835481728	395.0
Cre06.g287050	g423	0.2020072467860781	0.5137349610276511	2851.0
Cre06.g287000	g424	0.0309322189005368	0.1452801592643099	389.0
Cre06.g286950	g426	0.0651010854864746	0.3439312000665846	689.0
Cre06.g286900	g427	0.1763547550496493	0.5159025925943262	3757.0
Cre06.g286850	g428	0.18891195758578	0.3970319270592783	767.0
Cre06.g286800	g429	0.0485049077568262	0.3389888428072928	1008.0
Cre06.g286750	g430	0.1022054307932196	0.3071538251218502	1675.0
Cre06.g286700	g431	0.1650464135826012	0.3353533533815492	884.0
Cre06.g286650	g432	0.3102464064842573	0.5949229793376958	4584.0
Cre06.g286600	g434	0.0340967805575679	0.2153160538802361	1735.0
Cre06.g286550	g435	0.0605370472714393	0.3439312000665846	922.0
Cre06.g286500	g436	0.1083513240108127	0.4335583880813685	2405.0
Cre06.g286450	g437	0.0385937229566066	0.2386676662746101	983.0
Cre06.g286350	g438	0.0896441249558463	0.3722207433580897	1655.0
Cre06.g286300	g439	0.1054927312531117	0.4502151207497629	1562.0
Cre06.g286250	g440	0.0066519283055848	0.2659087632606806	912.0
Cre06.g286200	g441	0.159091638354944	0.490444850554998	913.0
Cre06.g281650	g442	0.2663632054468178	0.6420379886225989	432.0
Cre06.g286100	g444	0.2263367246942168	0.5139911547964162	2654.0
Cre06.g286050	g445	0.0598535534209313	0.4836809750954036	1248.0
Cre06.g286000	g446	0.0790672310018403	0.3104279825655216	1869.0
Cre06.g285900	g448	0.0744328068632491	0.3293864299082736	6386.0
Cre06.g285850	g449	0.083240994392666	0.3040988310811232	1328.0
Cre06.g285800	g450	0.1523069911975503	0.4561858025800942	1161.0
Cre06.g285700	g452	0.1304096638008636	0.5391067245558213	5799.0
Cre06.g285650	g453	0.153037150240802	0.3427776864296049	876.0
Cre06.g285600	g454	0.4346632562185023	0.6778150883943616	3430.0
Cre06.g285550	g456	0.2476009704469535	0.5918818133998229	2340.0
Cre06.g285500	g457	0.0152135033786293	0.3218301533739037	539.0
Cre06.g285451	g458	0.2452711646333267	0.7151037515216371	2526.0
Cre06.g285401	g459	0.0906273548574553	0.3984258715478983	493.0
Cre06.g285350	g460	0.2510999965716382	0.4967816414198936	2213.0
Cre06.g285300	g461	0.1169630568729564	0.4851928596046465	2674.0
Cre06.g285200	g463	0.0354571195036627	0.298683645101008	713.0
Cre06.g285150	g464	0.0714826348532436	0.3753871905803471	885.0
Cre06.g285100	g465	0.3427692026745817	0.6212148342546537	3065.0
Cre06.g285050	g466	0.2263180486499778	0.6137327426354635	2201.0
Cre06.g285001	g467	0.1556382149482085	0.4269077094968876	1690.0
Cre06.g284900	g468	0.0144235214459157	0.1555706084437732	632.0
Cre06.g284850	g469	0.0819266060158093	0.3287263113798612	6663.0
Cre06.g284750	g470	0.0797875742844866	0.2919429734109833	1685.0
Cre06.g284700	g471	0.0138938806253399	0.124344191132058	1557.0
Cre06.g284650	g472	0.0646553964009121	0.2326161962278796	699.0
Cre06.g284600	g473	0.0389698041980333	0.1480195756188713	350.0
Cre06.g284550	g474	0.1002485911569949	0.4235410439783422	3300.0
Cre06.g284450	g475	0.0107432454661151	0.1967731983506182	590.0
Cre06.g284400	g476	0.0539801247188169	0.244928374228876	444.0
Cre06.g284350	g477	0.0521665945546125	0.3236821890838877	979.0
Cre06.g284300	g478	0.0336379246240138	0.2840030662279826	1432.0
Cre06.g284200	g480	0.0166442336957716	0.2417626510482433	750.0
Cre06.g284150	g481	0.0784973186626746	0.3668647116503209	1831.0
Cre06.g284100	g482	0.0306809696309975	0.3372850226793796	1692.0
Cre06.g284050	g483	0.0173992890095914	0.2932552686997007	615.0
Cre06.g284000	g484	0.0871332308904964	0.3571129627711201	1776.0
Cre06.g283950	g485	0.0461038980702509	0.195615152460455	759.0
Cre06.g283900	g486	0.0513020451633003	0.3338253112241701	1077.0
Cre06.g283800	g487	0.1434590627984785	0.4532251642093743	2894.0
Cre06.g283850	g488	0.1006497138822963	0.326332368519871	1530.0
Cre06.g283750	g489	0.0196732591116523	0.22439693588559	791.0
Cre06.g283700	g490	0.3241000163927443	0.5450987126352698	3635.0
Cre06.g283634	g491	0.1310603905235587	0.431789396626501	5664.0
Cre06.g283600	g492	0.0959774107225323	0.4136466876596212	878.0
Cre06.g283550	g493	0.0126852918315463	0.3887583421350136	502.0
Cre06.g283500	g494	0.0863549110497542	0.4378127493597439	9021.0
Cre06.g283400	g495	0.0150758844908154	0.2205191597804669	1325.0
Cre06.g283350	g496	0.0675953876706939	0.2813007231928449	400.0
Cre06.g283300	g497	0.0395804945260842	0.3211838523299881	633.0
Cre06.g283250	g498	0.055958147843381	0.3528731837842642	647.0
Cre06.g283200	g499	0.1051326487119286	0.3241000163927443	1066.0
Cre06.g283150	g500	0.0641721383463663	0.2635484151284164	711.0
Cre06.g283100	g501	0.0131007697802931	0.2799588162091973	586.0
Cre06.g283050	g502	0.0676975592820053	0.1462416464960401	677.0
Cre06.g283034	g503	0.0974440668615816	0.4958308701114966	927.0
Cre06.g283000	g504	0.0959026778923382	0.3540647272981084	3223.0
Cre06.g282950	g505	0.0487184222060792	0.3324040770682586	1001.0
Cre06.g282900	g506	0.0176667697431679	0.2184898221709539	991.0
Cre06.g282850	g507	0.1449521398403317	0.4268768294145363	2669.0
Cre06.g282800	g508	0.0146346106676862	0.1904364074857226	1240.0
Cre06.g282750	g509	0.2170261577939337	0.4954356597741881	2144.0
Cre06.g282651	g510	0.0767586597694478	0.3852590195612977	715.0
Cre06.g282600	g511	0.0662768628375675	0.2812333188227496	2511.0
Cre06.g282550	g512	0.0451085297042684	0.2388402983389009	674.0
Cre06.g282500	g515	0.0103807885589035	0.0883372767422876	436.0
Cre06.g282450	g516	0.1340755602794081	0.473654528377841	2513.0
Cre06.g282400	g517	0.0903346148069003	0.4563044640786411	896.0
Cre06.g282350	g518	0.3744715682651961	0.703195374320271	3305.0
Cre06.g282300	g519	0.0145635643928262	0.3040988310811232	637.0
Cre06.g282251	g520	0.197344191906938	0.4575242053870791	1707.0
Cre06.g282200	g521	0.0043988395892985	0.0950637792293579	696.0
Cre06.g282150	g522	0.0295604764056574	0.3097168348779915	623.0
Cre06.g282100	g523	0.1869782830146613	0.4131232187847675	451.0
Cre06.g282050	g524	0.2342478139852343	0.457742122443399	1545.0
Cre06.g282000	g525	0.0416715976652016	0.2616903976108357	3700.0
Cre06.g281950	g526	0.1162363994832601	0.3846953216768137	3125.0
Cre06.g281900	g527	0.0450821517946788	0.2002796760303369	2445.0
Cre06.g281800	g528	0.0112890184031863	0.1584818202504052	549.0
Cre06.g281766	g529	0.2324479687836707	0.5473359853047942	2483.0
Cre06.g281700	g530	0.0752873354666392	0.3681589123360818	3290.0
Cre06.g281600	g531	0.1371370504233433	0.4065483116730178	2330.0
Cre06.g281563	g532	0.1798808622015047	0.6370473727830936	979.0
Cre06.g281526	g533	0.117788357473271	0.3738810603476947	3273.0
Cre06.g281450	g535	0.2709679573983227	0.7064006802478537	1443.0
Cre06.g281400	g536	0.1082958786614201	0.4195241767444073	1468.0
Cre06.g281350	g537	0.0642272267173194	0.2683484315125171	3092.0
Cre06.g281250	g539	0.0258721940999693	0.1700799895235913	3553.0
Cre06.g281200	g540	0.05954023446948	0.314409229382244	6124.0
Cre06.g281150	g541	0.0543353297662792	0.3688206911707503	1095.0
Cre06.g281100	g542	0.0031645616570311	0.132209431753494	1430.0
Cre06.g281050	g543	0.0126531891886913	0.2779029202864395	1221.0
Cre06.g281000	g544	0.0810446794702434	0.3944932092252401	1179.0
Cre06.g280950	g545	0.0265387477085569	0.101334315466381	2162.0
Cre06.g280900	g546	0.0021818197205128	0.2099158505437215	718.0
Cre06.g280850	g547	0.00542497844514	0.1008227018171548	851.0
Cre06.g280800	g548	0.0582283521429348	0.2499191103917572	1442.0
Cre06.g280750	g549	0.1721808312333752	0.3984258715478983	344.0
Cre06.g280700	g550	0.0489147426020847	0.4290519367550319	1103.0
Cre06.g280650	g551	0.0386434470912694	0.1997009834609732	794.0
Cre06.g280600	g552	0.0854379584242223	0.3753871905803471	1710.0
Cre06.g280550	g553	0.0385799334035715	0.3648256279813735	1123.0
Cre06.g280500	g554	0.0953434591179484	0.3895623208756459	5621.0
Cre06.g280475	g555	0.0619049659921712	0.3860568533969915	3496.0
Cre06.g280450	g556	0.0442622822867299	0.3732180839305909	2847.0
Cre06.g280420	g557	0.2075268573410592	0.4918086563612204	2723.0
Cre06.g280385	g559	0.1620871254138556	0.473523360767162	3578.0
Cre06.g280350	g560	0.0312107445745205	0.2764361210082072	2615.0
Cre06.g280300	g561	0.0395705933435528	0.2409265305603085	3642.0
Cre06.g280250	g562	0.0836430935661374	0.4044692362226313	2101.0
