	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre16.g652050	-0.4309350261827305	-1.0938667028415197	-0.0106349688437287	0.6649582141856739	1.3873160903935295	1.2741003577067906	1.5196140386569577	1.2444103285998918	1.031742976194845	0.7021274006975762	1.2956876385867384	1.334683417925861	0.075022646105559	0.8964284892627636	0.6090313351923062	0.859528020779649	1.4151335483186342	0.8373031299574952	0.3319241293785463	1.029666251516666	-0.1709682816602779	0.2010815087477913	0.2232578307547337	0.8921656877601929	1.054469754731861	0.6765059874633867	0.1651721501187447	0.0636315327364304
Cre16.g652100	1.820556802676612	1.4553931208302064	1.0816884656328851	1.6706171417825817	1.6679431700940626	1.6788564908348933	1.4760954500787813	1.705957263424885	1.7103854451101077	1.6865807899682874	1.5774776248057212	1.731323781637749	1.5497850629179988	1.716006825140324	1.406657341093002	1.7551002729977556	1.8583058829572376	1.733877610269084	2.082858738120314	1.8204487925694408	1.841318416953921	1.6855924655394985	2.0158396553991293	1.6264813151602016	1.516824784740931	1.5735423197231848	1.541543982539734	1.7436260281307
Cre16.g652550	2.7112932419339817	2.5446044131511822	2.425510752785465	2.753271670896924	2.1621323373779657	2.224141948794873	1.9973071566790093	2.2602795717823976	2.2709797855088065	2.050426542924536	2.435143476697221	2.397960516550384	2.5223173559868197	2.5302107907163816	2.269574263852604	2.37156206448136	2.5538493089886214	2.363658841550465	2.384911832060049	2.1346403285191675	2.266321205051833	2.290418429192921	2.479669855587729	2.421738214730254	2.339595614580365	2.504095561552805	2.369536891513534	2.4254980586498767
Cre16.g652800	0.2808491031799873	-0.2637420815022675	0.1284832868598062	0.5671502124674364	1.6346375135362816	1.169269920719448	1.2130282092622149	1.3520829355222057	1.4080145720144877	1.1877706253500688	1.8511385929328967	0.979796472098954	1.3909647097661986	1.7530041710894972	1.619650347216353	1.1575124677628226	0.8766102379822156	0.6979410415688839	1.774128968998804	1.3452491567344425	1.830488555490295	1.6303012128698988	1.5995859614784802	1.6251441337484889	1.630748881273514	1.9582849100574944	1.4513907631677578	1.886500722915872
Cre16.g653350	1.6805625639933657	1.576050448173992	1.2796566921811048	1.670889752673576	1.1309586402488403	1.4399884498850932	1.0687674623447831	1.5203178480872122	1.31183696007394	0.9810221503829288	1.1881691889980934	1.2369265121157873	1.1096178864327144	1.2290841663376022	0.9227581300641948	1.2130146741086625	1.3562796400695474	1.439958976664884	1.2226285295972703	1.2545579252545342	1.3557367801994171	1.4462506760392877	1.2526966114112612	1.1207252213718115	1.0918096865427769	1.4305474498710349	1.4220164654898488	1.4664818911427862
Cre16.g653650	1.8673478392982876	1.0970066515535688	1.2599636538834027	2.11214424907746	1.2691947399577617	1.0651582037362497	0.8588961179331571	1.1103397622447333	1.3428281739290977	0.9072766272302858	1.387876991839659	1.5902177223441922	1.1970356192784082	1.0831914208586693	1.0210597951338574	1.0439813601114083	1.2046515676221905	1.2735680697000344	1.4592769015820737	1.054219612765867	0.6750344830587612	0.9107532779565886	0.9745422329373196	1.2670702418169109	1.030718043138127	0.822351757179016	1.3325639048303322	1.3565328155601415
Cre16.g654250	2.03878830417112	1.798930054481024	1.334903962655253	1.7321599326271104	1.6931204517386982	1.429753968946951	1.4547029593601355	1.382228169328549	1.572951635799624	1.4112992667190871	1.201578584418859	1.5615174960052436	1.215506714089185	1.5742224694274076	1.0477512438603591	1.4351824075746626	1.7120531024849333	1.5750939985554375	1.5401453388205404	1.3538317914614333	1.4426262032747343	1.4978492394519058	1.2205872908777913	1.2535995790635526	1.5238830263363483	1.3956801491364377	1.3674988439416804	1.268453587814021
Cre16.g655200	1.269140502329917	0.4822695332765043	2.127285097579559	0.1261629343875043	1.0159543144988474	1.3940037510427097	1.2684083213558697	1.3083963346471976	0.8787881552459387	1.2435923845232568	0.57032207545218	0.6450686953980166	0.8016784280245812	1.192838108357228	0.4784556266620902	1.1494082895383992	0.7545263441934927	0.7373453717357185	1.0069494689842244	1.5870272653447095	0.7753314384899685	1.1892658268989853	1.2826077952218946	0.4731316575806521	0.7734532920855539	0.6965480221653075	0.132455552893247	0.448977903732271
Cre16.g656050	1.5370509497066869	0.897858073645295	1.3572111538902727	1.4110729747266342	0.7728803694661343	0.9098733382741012	0.7377012449086529	0.8831584573177416	0.9236499420953171	0.7495579984928995	0.9356120999594528	0.9001548439804744	1.1087313883215597	1.1324192276855218	0.7899302595429727	0.8214773501209359	0.7331299585423466	0.978091237358468	1.0869557089927655	0.9936215515901848	1.2523783551823586	0.8130693543597841	0.8311493347978607	0.9614694106542546	0.8064608938707281	0.8323062839981878	1.0350615593320958	0.9456717536659272
Cre16.g656400	2.154641744951368	1.2246556353862184	1.9300486359602835	2.1730975112628834	1.0013314673307934	1.0741620247080816	0.8520430619820338	1.212838954780859	1.2987621932172408	0.629446600509493	1.4936060492071	0.9926614066998588	0.7953754623815035	1.1476445539154	0.7733962385560724	0.4242118855350889	1.106510978781423	1.0293621271694589	1.330230988242343	1.2452554303075771	0.7340507466675965	0.7468864297343876	0.6543370488802983	1.4105523958892583	0.8068327717637525	0.9151853911699388	1.5229468672714408	0.9296891151886684
Cre16.g656650	1.712563470935887	-0.925008123160318	1.2775538037285374	1.381043284467921	0.7460965837617934	1.1248129623877938	0.8018833495801455	1.2509324091878793	1.0508687737609907	0.7329889574247525	1.3728760726478912	0.8181531677601914	0.9466050598813848	1.2307093516619385	1.0404418285511805	0.9295670231613694	1.1948495634220708	1.0561016805697003	1.3461035391148943	1.4297751807596737	0.9328891354858408	0.9230205115960104	0.7668067727927135	1.6633129613285251	0.8586848814813964	1.1077965236275975	1.5056213656677313	0.9833268754974048
Cre16.g657150	1.692565539744879	0.7902081828351125	0.9839576020823082	0.8470204916552881	0.3857708130411063	0.7178162667181275	0.6098170797854908	0.8628232906249091	0.6541180206883856	-0.4935188872101155	1.0002902034418828	0.2558890189430213	0.5081151766971375	0.6974254133978364	0.4476908765634211	0.8083366718550151	0.8825018351909104	0.636682500328666	0.9856051295574008	1.0447958033084936	0.361613669173314	0.8532448604704763	0.5429682250433506	0.8878636412937547	1.1586569306135484	0.9567149205121	0.9183860217678655	0.7879615076349784
Cre16.g657550	1.7987285841265224	1.1220084864965976	1.357249542909642	1.8609799962654103	1.058953743208867	1.1593301246722365	1.1382441962118728	1.3974287310210525	1.7546428530740497	1.4015438066126542	1.193132649664997	1.2863105243850164	0.8548289372162636	1.3791276682192004	0.7913421142869655	1.1983939925502431	0.9752691431427286	1.0582703964575926	1.4225737041614197	0.9112747551975248	1.178294415598911	0.9915797760684486	1.3045236822718451	0.947760817042997	0.8532328802324631	0.7404764417176339	1.236142995946153	0.9742792806303588
Cre16.g657650	2.594500873221963	2.749173667136701	2.4181993941122206	2.434048172255128	2.987217253057631	3.057112661564138	2.768203279627791	3.016108094513417	3.21002499172428	2.794549194426251	2.8867650466999657	3.004505714083008	3.2865826833424494	2.9234484302910406	3.2279253139786084	2.9442392167911784	2.8324379493450254	2.9394125485193614	2.819908869044184	2.97977099429916	2.8184703572850585	3.08921622786207	2.721701781925	2.53470707334682	3.184396641966008	3.2471137623178787	2.792530413023563	3.03424967116035
