	CSCH_1	JG05_1	MALA_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24	within_species_mean	within_species_var	between_species_mean	between_species_var	pval	sigma2	beta	within_variance	shared_beta	selection	cloud
Cre16.g652050	0.15125453595349	0.0755828345198315	1.0660811236861736	2.2795047589630024	9.459948155872187	7.874329561005264	15.43110149057569	7.175131828488158	3.8252180683389096	2.064505558672818	8.13469318422334	8.28461207248136	0.5007306420979972	2.752570535919278	2.039315225101881	2.3637708292467674	8.856850578859254	2.513155118245607	0.7356862958107513	4.367606347607178	0.19560447989024257	0.5596622564270582	0.5453799810283505	3.017950742144425	4.775111974281036	2.033719594488827	0.5833819598744943	0.5052717750681738	4.108137843989544	15.17379751733108	1.5361122194224082	2.859963599965095	0.027976321618579	42.4823655691188	0.710400545471349	30.17949567321525	24.8057395401286	directional	normal
Cre16.g652100	27.73383012755388	30.555521767459695	13.311508668782905	23.13913216592029	18.055128801859322	20.00367704456473	13.959327582558563	20.774892939416954	18.26492634231772	19.954608817327067	15.568118994046563	20.65536685431226	15.063070441245015	18.18799710709821	12.82359613466316	18.608092081641665	24.578675257994224	19.831051122440652	41.65033307776078	27.000149426049145	20.421569969755215	17.182621609241977	34.02861435895118	16.38634820975882	13.854463853262645	16.074116488344846	13.969446888774351	24.389814542144876	20.05358366439708	43.935135683609936	22.958715278822773	45.51353149286272	0.125631635694627	19.7184631654828	0.619260371323937	12.210862821794251	24.8057395401286	stabilizing	normal
Cre16.g652200	1.4969255035411404	2.878679031166342	0.8846923924205419	0.376505636706989	0.09137110951404674	0.9119323646827416	0.5674469018725707	0.7965116294802836	0.6327187199612362	0.4771327580831258	1.2012707517647438	0.013101664614256601	0.45638764147222743	0.3866991247863068	0.4329508818431269	1.5256700135954844	1.0871194620114368	0.42247036408824173	0.44845213016990987	0.112472856874808	0.45374405408967106	0.25986867265491703	0.12036523103999143	0.48455434037344114	0.5881257498455436	1.200548265492572	0.14752978031241962	0.0331429788033324	0.5354828103094349	0.16372095630558253	1.2344570748288897	1.0298341358672498	0.420991776985457	7.17820297912829e-06	165996723.195295	1191.5581729660007	24.8057395401286	stabilizing	abnormal
Cre16.g652450	21.710434694946947	11.143770853371665	4.952512291814413	7.398783982288414	20.916877004952802	2.556797522034247	21.02982861425102	2.113257798459642	1.6782810193610098	2.677471409586826	4.414804423213309	25.015424324463126	11.980511629060041	21.98262404177267	14.297764436853862	22.516334902194497	16.307282127150515	17.550844384614866	11.684403543586756	7.342247700358712	6.611635758774277	8.295766043662203	8.39660685418625	3.8252530417336725	8.558995987857463	9.412339742446564	3.5890406099120145	10.842080276662761	10.983186383214546	54.061458404556085	11.237737641127197	40.99815814188664	0.470329614399653	4.79492726232771e-06	335185435.067288	1607.1897805393135	24.8057395401286	stabilizing	abnormal
Cre16.g652550	215.6768347711419	375.3538040797985	294.0310811582763	279.95398851902104	56.34471154135546	70.2199242796177	46.363651761805805	74.45994862392975	66.41613645124991	46.125350866253285	112.20209347997228	95.88107776745953	141.4344587804318	118.59313688452345	93.55644419482464	76.9522836768807	121.94105642268651	84.56454653346397	83.50059287722668	55.66619288584264	54.34141985776653	69.18034489145317	99.01521828760589	102.28814013533703	92.14522207723496	137.01960337104921	94.03259011993039	117.25803258523551	87.89592409804737	756.5551458043791	250.58232652525703	11500.917326971074	0.0750573651524131	7.90930217012376	1.14057117459699	9.02112206642058	24.8057395401286	stabilizing	normal
Cre16.g652600	13.21008015731857	10.162175350425262	15.202972854315169	9.775052760494289	0.571163105388031	3.3332980500436844	2.4146507470557155	4.6330589447585	3.9213199570450605	1.3244150688688645	11.93785719654663	1.7850905248196778	2.4417957013791285	5.1719668007095825	9.053100045454961	3.5800643940115555	3.8969631763081742	3.0998272940599336	2.1584816016444535	3.1159538419733135	4.270669863436	4.828383074063603	8.805142550978294	18.165779895413586	7.855018565413677	6.6982127882368125	11.777971152256553	7.931808860272859	5.532166383339111	16.998958445742343	10.776489501178478	13.599825185740212	0.436188559914682	6.52867288656983e-06	85471331.280505	558.0143631100608	24.8057395401286	stabilizing	abnormal
Cre16.g652650	12.702742859582347	7.365109412940289	11.426558395455247	3.9598415708253074	4.085134553461685	4.324275152013307	3.6201933505534876	4.683086977913843	4.581581157051898	4.731727660413909	4.1915153996764145	6.373399621382577	5.150762068490347	9.241685128051403	2.8245860632875144	4.696452408161911	2.48812754184941	6.057904122213221	3.4010011429472393	2.9781991662270104	4.854046038275047	2.3524367034974145	6.03419499578468	4.82291975082257	3.4798003076892967	3.6243555285212534	3.7457443673776236	3.78207919319914	4.421883683285924	2.1898952568672025	7.9752271844178235	15.845726736290525	0.4815414019854	0.000101704438753	102529761.091589	10427.731807299237	24.8057395401286	stabilizing	abnormal
Cre16.g652800	0.796318983803871	0.5728770300740963	1.4727847176287934	1.8188406628979417	16.72197218959327	6.18471992238609	7.615113574774831	9.195108127128718	9.10252537589851	6.324708248210328	29.238213485958614	3.657051027726995	10.448141995244908	19.805647437185748	20.944445193690115	4.697730370707272	2.560622946866342	1.8222912933259927	20.457451732038418	9.037244491558	19.918548377968182	15.128156513541066	13.047377845981126	16.335960754142405	18.011269009634063	38.988618681708566	11.350034687768606	33.89262193078154	14.353565633909154	94.08282396835553	3.802877405662771	35.03876294787018	3.97165044278442e-05	40.169537423559	0.325473328185259	13.074113036908061	24.8057395401286	directional	normal
Cre16.g652850	10.563409872455086	9.201668089386654	19.529672069349377	9.641799198407812	3.0069673272803903	7.24623647895585	5.46897047925351	8.350229903648465	10.590397739582045	7.779521853112677	7.940066755772321	6.030913087830837	5.951902836924886	7.88854178147318	5.429494669922069	9.694656156883793	6.534881763164073	4.114060207280946	2.3463339490642636	3.0930803823700135	9.20435969560526	3.0869767434062907	15.028017580610097	3.3849596136559454	7.322647662792426	5.244059766557397	3.012546913716499	5.234583230278974	6.374350274130928	8.829252386159215	11.062179900745972	24.8504818286083	0.384202231502084	1.55076409329435e-06	38233612.6601364	59.29131367026381	24.8057395401286	stabilizing	abnormal
Cre16.g653150	11.857712513566955	17.663708427284636	25.239307754439217	18.38595396750821	5.2982635051013185	5.386642249823713	6.246334789663408	7.95714186972081	8.046213245506578	4.751065818085301	9.908712168085694	5.826861376505591	12.661755283754983	11.404739360936519	10.760231395611262	8.411695764178049	7.485008390566393	7.278844869034873	15.530486970310344	21.332587940309487	28.3226997501433	9.149001372197603	31.403383879337287	10.641630331244597	20.693452928259106	20.084381071572395	14.5115296211198	15.401020735752567	12.437236861950874	52.75286836039702	17.116783904949976	29.360326298412886	0.38472635702101	9.91707822902432e-08	7984744963.01776	791.8534043705503	24.8057395401286	stabilizing	abnormal
