index	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre06.g301050	1.2708540067096783	0.7051766910026134	0.7252937726351426	1.2060067214575547	1.016045180940596	0.8294572129270621	1.0292839402223632	0.6887194501640499	0.7506086852500999	0.6261852541764964	0.4008107939049658	0.9588227073473762	0.7131124398110983	0.9873232613159604	0.4420594484805553	1.063772549237315	1.2642885882277135	0.9321701505382948	0.6810651217133747	0.5431019331156046	1.0245663907143308	1.1110485621606714	0.8966900887663287	0.9615865964188488	0.8944226371697337	0.9265052290421918	0.5037416303642759	0.8063248927265378
Cre06.g300800	2.7272161711492013	2.516474249370226	2.480746085189277	2.8297202516040274	1.9777194497091477	2.233747426077343	1.8754998150125808	2.466212242371373	2.3232563458744737	2.1484223350250846	2.581239452285572	2.328490165667301	2.4836007979227497	2.7987695738253584	2.420512844322372	2.3714055440981148	2.6849061798112905	2.41864589814746	2.623139310238117	2.413198418528076	2.472356870995762	2.601587616302515	2.786174306716506	2.8621611065189985	2.701285560838365	2.857425736788433	2.8073077729096463	2.6092408700643483
Cre06.g300750	1.3477317305181638	0.840626249949488	1.251993801378231	1.3757469571476275	0.6846956383709153	1.1193710132799173	0.8417480864902742	1.2399136275564049	1.2717794745125937	1.037859500069041	1.2324387438418325	1.070448123063155	0.9677953375159264	1.063818496242811	0.8121666266935268	1.224765765331055	1.1436439205687954	1.203716214333443	1.0251466156362778	0.9677003770200512	1.3091769018109105	1.2381400645081078	1.1690409040182534	1.2323495262200994	0.92980762197892	1.0099417838959153	1.2583361056046671	1.1632084898354509
Cre06.g300700	1.6931313484517754	0.9265131029486744	1.9647539125452704	2.439791260112522	0.8170635300351822	1.106389369264422	0.660693084860617	1.1525624245184212	1.1398229610859272	-0.1874388222190883	1.4171923527171446	0.6100162439695151	1.1844506123142229	1.446587666047447	1.6325934126408548	0.5579037465131673	1.520136388823782	1.152493767448227	1.7612242229380293	1.4679485913691446	0.0583651007786678	1.2435341684802184	1.3574782291948686	2.163317029708854	1.501158352000854	1.97437474098474	1.8971009755453547	1.6967423597337852
Cre06.g300650	1.0410714159639387	0.6657516129974533	0.6864875824966516	0.9290627181278164	0.3106301723345271	0.6825483454264956	0.2833505000921741	0.7843698824260432	0.7071281574572086	-0.0730022057870686	0.926968431350176	0.3747409270961376	0.6831779180422071	0.963398069584896	1.0683822452500007	0.3113401799809465	1.0709494149757304	0.6859900368612254	1.241592105414014	0.9145300180408208	0.0130257933892067	0.8452602293818025	0.8628965027466278	1.6300608960215577	0.9389295182284556	1.4265713133092448	1.38334127007472	1.1788175152747145
Cre06.g299900	1.9770878179268	1.2193557469111536	1.52555135612984	1.5012426719246077	1.1192282550191974	1.5778843678873478	1.334428828339619	1.50906965085092	1.8264347979874904	1.8172834537403235	1.6053620527543375	1.612104252029601	1.2940027338871296	1.602578336218072	1.1226373712094244	1.5964959206857428	1.7955745503601617	1.2824500184739545	1.296062451704441	1.245792055859016	1.99194095361652	1.607729920067715	1.85604407636193	1.4028337827512456	1.325954095715639	1.221454705952363	1.4738304759076089	1.441115109002276
Cre06.g800734	1.5499080260691716	1.1754836792612195	1.5284607911308503	1.3324572634610845	1.1771773819711475	1.300719727480243	1.143239411388303	1.3655702667711371	1.560941125467202	1.3484108268562711	1.450050749959891	1.3386775809090827	1.4202522074044603	1.2672985974794844	1.257667191332278	1.1543907032895162	1.0919565761612149	1.2737845106763412	1.4078679013862243	1.4130111563966017	1.7302541611395348	1.254378841126753	1.3699565196296035	1.379513685159006	1.405605655185478	1.1427405261419603	1.5331432963969336	1.2122300966984083
Cre02.g112900	1.1959457593441678	1.1775515723929595	1.1768178196675536	1.2918044160650997	0.8375389333748123	1.1630841646153136	0.9056262750896444	1.2412505144986816	1.242960990400494	1.146582129999825	1.3194951880300634	1.1026903198059654	1.1997211021567702	1.3359337707150014	1.039741645193854	1.3371160264111406	1.2694198176009208	1.2413853257894796	1.3002083082158205	1.0078566478851303	1.4217814548951369	1.2010121156337004	1.361495743378863	1.3738618101375455	1.1537799985975816	1.2051918747151182	1.396602404295482	1.2166626058551877
Cre02.g112950	1.457583021591906	1.439727891072516	0.3948552045228187	0.7303838954351048	1.1690908802171474	1.5407262551589775	1.644066757196179	1.4994938139224452	1.5535984555579578	1.564237298418182	1.4174005699102123	1.237061892606906	0.6511685394605846	1.3823274406228294	1.2648118848840435	1.4356931722833477	1.436511455737452	1.5253556977346543	1.143221747089483	0.8819978234063898	1.2363021787842614	0.6507452477318286	0.6098833163416217	0.8151809368590176	0.3104026013924005	1.1714685909463072	0.7860422083282995	0.6575703215334152
Cre02.g113050	1.4379001355662235	1.0825706829718846	1.0648292127553538	0.985955424173328	1.4249831976210474	1.1684974814103972	1.227272014141544	1.2979587812301532	1.5584311920347031	1.2318297495586594	1.1622815255953527	1.4026864331418691	1.1044665961201765	0.8504814812393964	1.039403598667355	0.6945307471386776	0.809611286006161	0.879541441873994	1.2584870275518305	1.7698618017848595	1.5405417898771143	1.194914547743457	1.320340315703317	1.1096535228682904	0.6256997412856894	0.9400784005245588	1.2727364428363388	0.7684625078435502
Cre02.g800236	1.037316303370064	0.8029439365097769	1.0113027481429886	1.193440186348298	0.7714671352387616	0.4454747700471632	0.6745340656630492	0.56122456254666	0.984299046654975	0.3607976607760274	0.800408951893489	0.8856020629749539	0.6113487478319366	1.1681491408337468	0.7240360305112311	0.8357510174846616	1.0889047690938871	0.9525856899249352	0.9275057555301568	0.5680231782641988	0.8775168572343381	0.9161475015592376	0.9376383096701468	1.129784035967723	0.7630913853533974	0.8510902492432725	1.1499176326332168	0.7659625890364308
