index	('median', None)
Cre16.g652050	0.11368417104463753
Cre16.g652100	0.03858576215928199
Cre16.g652200	0.10370948694885107
Cre16.g652450	0.05986820841228988
Cre16.g652550	0.061408256868867486
Cre16.g652600	0.07398807308614039
Cre16.g652650	0.08325613398693389
Cre16.g652800	0.13197788806572613
Cre16.g652850	0.06774100996120819
Cre16.g653150	0.07255356389455596
Cre16.g653350	0.09305447247825435
Cre16.g653450	0.058626891507227254
Cre16.g653650	0.08278352038014145
Cre16.g653850	0.07000816963242573
Cre16.g654250	0.08234457755734843
Cre16.g654500	0.0765553621911326
Cre16.g655100	0.06587960614203144
Cre16.g655150	0.06314006513223228
Cre16.g655200	0.2103311568596559
Cre16.g655450	0.194312946320246
Cre16.g655600	0.0898642378884941
Cre16.g655750	0.0968326598361073
Cre16.g655900	0.08284567428075526
Cre16.g655950	0.08641148799137577
Cre16.g656050	0.09484884432495225
Cre16.g656100	0.10325159274339521
Cre16.g656250	0.07047133634392672
Cre16.g656300	0.09425299394987094
Cre16.g656400	0.12729348322024786
Cre16.g656500	0.05618015784816991
Cre16.g656600	0.0516542368435454
Cre16.g656650	0.18103559057248272
Cre16.g656700	0.06786509365262045
Cre16.g657000	0.09792197225878356
Cre16.g657050	0.10358807544277915
Cre16.g657150	0.1028458091486119
Cre16.g657250	0.07099365814387419
Cre16.g657300	0.07462629476259844
Cre16.g657350	0.04341105694257861
Cre16.g657450	0.07476783174052333
Cre16.g657550	0.07775781963300779
Cre16.g657650	0.07389105231322012
Cre16.g657800	0.10237909786412483
Cre16.g657850	0.10425837383851713
Cre16.g801897	0.04348792064904674
Cre16.g658400	0.19693489142192117
Cre16.g658600	0.06820846412248646
Cre16.g658650	0.06572916768572923
Cre16.g658800	0.0907635160083707
Cre16.g658850	0.05304545943031286
Cre16.g659200	0.10481904308552789
Cre16.g659350	0.05713413585273854
Cre16.g659400	0.06449214841569073
Cre16.g659800	0.12055988284248594
Cre16.g659850	0.11928914741491062
Cre16.g659900	0.11975335402517091
Cre16.g659950	0.05222691681210502
Cre16.g660000	0.09171762592358076
Cre16.g660225	0.11617639121621141
Cre16.g660800	0.060053457777547725
Cre16.g660900	0.08295921453411817
Cre16.g661100	0.06371005691057355
Cre16.g661150	0.04080428206910313
Cre16.g661350	0.06876240068898583
Cre16.g661700	0.08030274069365832
Cre16.g662000	0.06977157824615988
Cre16.g662150	0.07245441336707201
Cre16.g662200	0.11219233076304395
Cre16.g662250	0.0796013666116667
Cre16.g662300	0.11630627529233697
Cre16.g662550	0.09635921270386981
Cre16.g662600	0.07146604870278941
Cre16.g662650	0.17097184525336706
Cre16.g801920	0.06640618235273581
Cre16.g662800	0.08748367792123964
Cre16.g662902	0.06577650626115407
Cre16.g662950	0.10326326772092483
Cre16.g663050	0.18375150042593286
Cre16.g663100	0.07677366678935725
Cre16.g663150	0.11027284090210307
Cre16.g663200	0.07613844950634382
Cre16.g663350	0.05259141663551535
Cre16.g663400	0.10561888141667639
Cre16.g663600	0.08873726176917088
Cre16.g663650	0.04202497576804058
Cre16.g663700	0.08388448598654755
Cre16.g663800	0.06957162597445596
Cre16.g663850	0.07321385262553357
Cre16.g663900	0.14702060613903087
Cre16.g663950	0.11367919354037304
Cre16.g664000	0.12337436885924827
Cre16.g664050	0.05877868734302093
