index	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre03.g184250	0.6949337696718079	20.469025001147017	30.792924557619173	48.7121710763062	4.923702752207928	2.070802886087749	10.131999404646255	9.672571820435287	3.798461176892135	1.2354238919574674	7.8708899767750085	3.8687599922435396	1.686865665568595	4.273685926190438	7.941146401649316	0.5730678398766677	2.913197114982743	2.370328602112419	7.941137978316358	19.37347058451233	1.9798847444748702	2.6450084841790664	1.655149891579521	13.585965845578555	3.12382795535402	11.661004372640932	0.5188595825516445	3.5577967584275094
Cre03.g184450	52.96316148113648	42.180076737990525	39.470779641313065	47.42193445792415	16.41390027551223	11.223348828553794	8.064134799313251	10.81930151653941	14.987147126728042	16.35124597737256	17.03030577435067	16.129162119683567	20.733406025507914	23.9771277961276	13.779179071568135	30.294860265557087	20.43949151888995	19.657925172580253	16.690541159018082	18.150007719869087	29.479758956649707	20.58766012958397	26.881713989892603	17.64432350982711	16.519122351454865	16.288120171131066	20.49101303790299	18.008485628375666
Cre03.g184651	3.700663570203529	0.7567998469273624	2.3777809377825947	2.093652651303042	1.7600831877437715	1.0435536651040918	1.201314435763126	1.9769874651737094	2.265795524317896	0.7048494429578507	3.26881704457108	1.5327899232967885	1.0894498762779772	1.6039782957535111	1.3191322975465132	1.3963734098124583	0.974242329514612	1.2572977989941057	0.9266658755530104	0.9758452180303369	0.4150265492778675	0.6644952425202235	0.4347056175190216	1.0011262604334978	0.985183287387868	0.47452665076531036	1.0373682342493848	0.7279244100622501
Cre03.g185550	239.4985143718935	972.1367991422172	370.1098832864095	732.9024900936842	48.07606471897309	45.935474089737	32.70285579250952	54.11595516155135	39.277002526989314	9.151558037443422	31.040786255292733	50.291693973246	104.97924921913342	167.97989327885873	146.24794372118774	348.31016881144427	106.05896795483984	109.18986576749391	56.53417379334664	53.98430147954998	56.8786822061594	153.62920079639045	35.61251756783402	348.314725000369	304.56000951141607	185.0350665315002	388.78520327582027	148.79765735443024
Cre03.g185750	15.804471179565054	2.856852250566745	7.636334934801796	5.270629458133183	1.2152615187488602	5.001852536076881	3.7113948508190355	6.921883032966446	7.975572830653789	5.193235621658077	3.8460185778244806	3.0713798454064936	2.8526132097793977	2.85507133144343	1.7459172898551925	1.552975340208122	2.1211410292899906	1.401469860301466	5.589282489730432	4.210719402203978	2.0388232730407614	1.7331432234223048	3.396804707266933	4.264728330747003	3.4733446981853078	2.7052539609681774	5.824604908789545	4.020233193032022
Cre03.g185950	6.388112260496706	6.987666179370861	6.05457221283612	1.8689568859983272	4.30428208716289	4.233864424930006	5.295606436737519	5.316434303583293	3.5487864951485073	4.3369356211325965	2.7885432842163085	5.547176137914437	6.23741844853149	9.23434353577285	2.0599577392963266	7.5352581558501415	7.503927583629043	4.897197316762159	2.728202869751044	2.605959166780425	4.134876493862959	6.255373164718301	2.8562046752736623	2.272379519435909	7.542773644380844	5.346635811382643	3.2654352829412985	5.460939470373774
Cre03.g186450	8.192115325370702	3.4788586122150997	2.7814675106975497	1.623060380864249	1.003812866760437	1.2683953243082617	0.8294397381710299	1.328879595510264	1.6584088787051252	1.0207474681224982	3.3831268193794966	0.8539116651941012	1.3926328328800945	3.6055460887020145	1.2823868874023894	1.0451426180328058	1.938814016872164	2.214370938192628	1.2798593479449785	1.125111190822064	1.1858528654698435	1.2376331754823973	1.4551635394683329	1.8630940247500962	0.8753957820212607	1.4390652391798728	3.072366354627102	1.062462314171031
Cre03.g187450	51.032009565880365	74.89063029120679	244.20383367347236	155.2010176860939	7.89270740743986	17.650342064216883	8.976282291834766	21.905128789630407	16.112906304666364	5.794191506789937	37.914445067741866	27.221860774771717	76.11951840905078	54.898859967220595	34.37671230834568	18.56217614677482	82.6114269073761	23.8104849158024	39.61121724210183	27.404939536381132	17.59221889970887	38.11901788905573	48.56040573835295	51.866980957060036	52.62465336974847	49.796436898466624	63.04767876130239	33.63759053353893
Cre03.g188200	7.829123849122587	19.06736458219544	5.059861221769509	4.6795575610073605	1.9155096387329607	1.6120245620336842	1.5368438769519628	3.3573412720227402	1.620162910252292	1.8458543198740809	2.694517567815243	2.4059700552147274	3.156564866088829	3.5946077979175137	3.0694254716854004	3.783856674936931	3.7444039363936263	1.775940091992086	2.6341206090312146	3.4030925506172167	2.2667086604997735	3.035592764619546	3.0276081225173654	6.66338301477187	3.5125282328476235	4.0377307369595306	6.339832073559883	3.6632664785379014
Cre03.g189000	1.4697732927376568	1.6588209152558329	4.435561797842023	1.9544779786519	0.5221960484136946	0.5859255374706814	0.8803537648055163	0.7455728540404282	1.5984422264878013	0.8495039724119028	2.016350490813066	0.6231543011133676	0.6442085720417705	0.8213520547245046	0.2764457872827972	0.919626258305459	0.6680553351794222	1.0014495527680256	1.2621419778360696	0.5775164264250178	0.20121406939162936	0.14245405019861043	0.5367508234015003	0.3060156231154683	0.43246035682332035	0.26691608176724635	0.6649538452066857	0.1942050374820211
Cre03.g189200	8.5978750281062	10.556001052162134	5.417224172485491	30.03915772884089	3.7079002946270943	4.741834964734468	2.4657492166337778	5.9389629267127475	4.670554412715117	2.6171202757103083	9.190488665367553	3.270231621269114	9.055608103844202	7.491770145573528	14.840051702081176	4.924163139928235	7.973103222068545	6.3398458043986	6.608504268531038	3.861178695046371	4.114407245390937	3.57875456725451	6.274392441224251	22.378959356245655	8.20347854808467	6.634285095564398	11.72343981225544	10.005303182503079
Cre03.g190250	0.1772859276085819	1.56227216697016	0.1639286209289847	0.3113725620160369	0.5263209323605627	1.2597038438471986	4.626672163200947	3.0402157730492507	0.5917923548620883	0.1068766725460125	0.5119920652446596	0.20001054658705922	2.160913461975348	1.6919021887956909	2.06919415956524	0.5997242945697548	0.5147802483939286	1.6303518063824376	2.087799557816158	0.13814807092641282	0.1525095874895314	0.07505230008524415	0.3105135667787568	2.9527721525148025	0.5709758117657104	0.36284804389175407	0.0976725092966878	1.6325702374905051
