index	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre02.g095150	1.664016866535436	1.7011917859499903	1.5759763965804137	1.3867822724349637	1.5291112185321807	1.6419182738645304	1.5180439838026325	1.5304500971097097	1.7904159715650192	1.7462493966635673	1.9221282709315681	1.9176548228341785	2.0675512125658555	1.2047185959143203	2.3303236757162646	1.9246175915002321	2.1522843740102777	2.2012157862547155	1.7437925339734923	2.3630516917283044	1.8058380307715407	2.694741370876492	1.4739710794240946	1.7548574641265828	1.380394656195794	1.5387385095821036	1.7849845985155783
Cre02.g095200	1.0978573901961524	0.8721314835779153	1.3674974825780837	1.231588456272982	0.9936269349620367	0.8737775299116932	1.1487530416199165	1.0895828554357854	0.9747774084921107	1.3226013013736226	1.1376736640109304	1.2571873377200107	1.18203510243989	0.6844973954386712	1.1313618777289507	0.607584675222173	1.5153044887173854	2.0481315581037363	0.7519040191232079	1.2299816872535043	0.6045824581233435	1.482610024805858	1.5544111162713035	0.11371756422677973	0.684086984337897	1.5886841839286046	0.9529586879065493
Cre02.g095350	1.1898205823891284	0.8806129512425305	1.2494856822746765	1.4723030506726764	1.602605187733361	1.3751932778745646	1.635295742939424	1.5902131411658709	1.705009359831248	1.5187182653123095	1.5862273475489554	1.2324648982584023	1.7013708059244546	1.1548063191472244	1.5132026859637777	1.7057479367404722	1.6419729527467686	1.3120660084720095	1.3055406532970253	1.7457481689812877	1.4700748425868784	1.6664109419051718	1.2311776514703316	1.305757068661654	1.297728753063032	1.3491536693845168	1.3722012591378654
Cre02.g095400	1.5323407068069719	1.0600016245575459	1.6092586493603702	1.0063558901481766	1.2048926161506834	1.049208283000942	1.4182474321597114	1.2504407074835135	1.364547141940232	1.1641165580987423	1.539088060640258	1.2394643935210066	1.461092745489365	1.2385466315075573	1.2697589540555634	1.2383629403779604	1.6079129921128157	1.2359680797512655	1.276489839942513	1.4254806801256368	1.207322837634923	1.1458966819159033	1.217441644805319	1.2446121205302538	1.3571249423110283	1.2636307948580705	1.4568820573339678
Cre02.g095450	0.27787614746695183	0.7361044842232793	0.6709759762367458	0.7134045653428214	0.6901111414648005	0.6890036474273863	0.9582472700725349	1.0955304290602734	0.633873780197853	0.9517948489357727	0.6346103354337118	0.5220900314265378	1.0391023870175524	1.0147854918450347	0.766024692229577	0.8664412286558635	0.9020529157080621	0.7471412908924291	0.9055334522448496	0.7443342945534981	0.562193579293278	0.9779519324403625	1.111809920381007	0.6806246312819223	0.7926160836881897	0.8715123221623681	1.0577981212122256
Cre02.g095650	0.7512559154190167	1.0143231797276164	0.746310179189899	1.0049697410591083	0.8464722278962986	0.9113276886465068	1.2076083441708352	1.402471456364096	0.6268572858329553	1.4522705643268055	0.8234571469179803	0.4837949998207943	0.82113748726245	0.9398930917340605	0.44016374623976806	0.5231297683430504	0.844868024100651	0.8377906033774034	0.6620059898058639	0.811798886657155	0.8533964871207395	0.7947605389028025	0.7889279003783845	0.481989533688511	1.0084490615527406	1.3154945910977816	1.283547632234112
Cre02.g096000	1.057524543223225	0.9814712156283986	0.8202109462634668	1.5480474971420017	1.311629967171143	1.4081280510550562	1.2701577608979213	1.1866743989690847	1.2664824266865309	0.8874173991048219	1.30483646508727	1.5429946536163495	1.3926835628809495	1.1274176330973755	1.7155039527119889	1.9592147272371518	1.1117642428245897	0.9875225329772822	0.9908101849886521	1.5696904918526133	1.648368725727455	1.2758681768224154	0.6551918694381862	1.6184134858642867	1.4426111359054214	0.9902614556207215	1.3429776893459648
Cre02.g096150	2.1408676131287794	2.0504359302685313	2.520545056097442	1.5254723486394395	1.6762084920992442	1.6633435600173943	1.7407496112471157	1.7332303325616845	1.2894386832472762	2.1886624860880017	1.4720472199345622	1.5279468111957897	1.5193782451156927	1.8774856366938417	1.0334855361043707	1.493453641288495	1.6672394901677727	1.9065754215444792	1.7180265304155484	1.4720341063165594	1.210699215059006	1.45036082551887	1.9569272962640827	1.5724566439000738	1.9047078564851203	2.1544947152723437	1.7886462706120465
Cre02.g096200	1.33042682230121	1.1522216352052514	1.4308200099040396	1.6399602422118873	0.8538137372333774	1.4526049609989615	1.7924232775367859	1.1727943650730956	1.9859644634832707	1.3964890110315789	1.0845152087721919	1.2686919685829618	1.3944915185274864	1.6985463050826355	1.30794178587826	1.0645993640912654	1.2436405248552505	1.3487818527934659	1.285435345737542	1.7541178916520748	1.4069292479211568	1.5562410063016088	1.4042419978464544	1.6636256196188506	1.3942331783317656	1.5568244175071828	0.9161847385627728
Cre02.g096250	1.4753652443396985	1.1913470448401435	1.234724829100646	1.0824921057493468	1.0107125393421839	0.8919297093863183	1.0504879933568905	1.6659512931007783	1.1046671698011914	1.927709734532071	1.1639153597870027	1.3697310016422133	1.6596971647634489	1.0528160328101315	1.5215157447836998	1.3153282274408575	1.2397970074844604	1.3111513178917682	1.2214581176485662	1.774531336078073	1.5890913627646168	1.4348020534918482	1.365413609199987	1.4448668178946886	1.3309607957617486	1.3171843323078907	1.4125660793412438
Cre02.g096850	0.8972220070300008	1.1750510958064397	1.2030162578819854	0.8448898940675965	1.2942270533561175	1.2057040246585673	1.3535177991234728	1.3794845780272174	1.4957163468916295	1.4655936529195994	1.2579901765988089	1.4399281355942763	1.572602776101421	1.2100489845906368	1.347388423889944	1.4437669727961249	1.3733086069759552	1.34386573639869	1.2765802362448788	1.590238278067464	1.246445601355747	1.6349478964232522	1.3325994670184707	1.3668055935718024	0.8843848272880879	1.2007951126512095	1.0897609189657784
Cre07.g314650	1.489790389554	1.3146306526824827	2.0162315972763754	1.552848861984458	1.6175043585537168	1.3502113995953002	1.6054180181849047	1.7946096063376036	1.5673293596795557	1.439176636031752	1.661195971769466	1.4330342073035138	1.2788087991915362	1.2107395250395783	1.4082266669991776	1.32727825608026	1.4781019065936003	1.6184239421795628	1.5790410993497355	1.5225621469727912	1.2665400027061386	1.0889250172544742	1.430385295934836	1.2727860790903258	1.1490739105672625	1.6608526381007636	1.2020447278609452
