	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14
Cre16.g652050	-0.43127905888304807	-1.0939131028626896	-0.010882537734591444	0.66477528346758	1.38725158953864	1.2739824780257223	1.5194984230328195	1.244302184396879	1.0316122115047972	0.7020840869157723	1.295475826855123	1.3345740973313567	0.07489507711764432	0.8962433748840133	0.6089531292543139	0.8593379930916212	1.41462240794378	0.8370677917157676
Cre16.g652100	1.8202032826005183	1.4553401632462943	1.0814385399770579	1.6704338536047039	1.6678786566493156	1.6787385731116558	1.4759798381395206	1.7058490788757805	1.7102545842427348	1.6865373989426533	1.5772657618556882	1.7312144307352708	1.549656447641834	1.7158215110946307	1.4065789730007345	1.7549100157435285	1.857794616772838	1.7336419726571684
Cre16.g652550	2.710939675265609	2.5445514385132952	2.425260629218348	2.7530883468080436	2.1620678145136676	2.2240240134018805	1.9971915177317863	2.260171371878132	2.270848906153655	2.0503831468317038	2.4349315654511843	2.3978511497166535	2.522188708293508	2.5300254464877656	2.2694958692359926	2.3713717818659164	2.553337986195133	2.363423170635275
Cre16.g652800	0.280497382341282	-0.2637940852440919	0.12823501518038516	0.5669673819271923	1.634573001196441	1.1691520581700914	1.2129126294999575	1.3519747777831792	1.4078837368068406	1.1877272535598	1.8509267037673878	0.9796872154838433	1.3908361105093363	1.7528188541324392	1.619571967208381	1.1573223094915506	0.8760995806510432	0.6977058330576976
Cre16.g653350	1.6802090642549479	1.5759974860865789	1.2794066906346746	1.6707064644711327	1.1308941606747038	1.439870550281128	1.0686519104865229	1.520209674897483	1.3117061375489667	0.9809787957664386	1.1879574074072656	1.2368172042983825	1.1094893348423933	1.228898926036138	0.9226798249006704	1.2128244999493452	1.3557685282429401	1.4397233811473227
Cre16.g653650	1.8669943137609368	1.096953717777926	1.2597136584330617	2.1119609359159224	1.269130247370906	1.0650403628275096	0.8587806274172174	1.11023164033644	1.3426973470069503	0.9072332810051982	1.387665159586735	1.5901083792374455	1.1969070494616958	1.0830062242325336	1.0209814709970269	1.043791241407046	1.204140549918627	1.273332514147238
Cre16.g654250	2.0384347629758626	1.7988770867486865	1.3346539454111652	1.7319766392768996	1.69305593751317	1.4296360703642765	1.45458734937219	1.382120008363475	1.5728207844254198	1.4112558835967794	1.2013667986493035	1.5614081548183594	1.2153781408687894	1.5740371691455932	1.0476729152710753	1.4349921867455402	1.7115418646897533	1.574858380147639
Cre16.g655200	1.2687871191189297	0.48221673164359613	2.1270349832841196	0.12598097843424375	1.0158898493963362	1.3938858562224539	1.2682927331144869	1.308288181999278	0.8786574419265643	1.2435490093355812	0.5701107265267091	0.6449595718679189	0.8015499796086852	1.192652877577712	0.4783774883818753	1.1492181337616254	0.7540159075087867	0.7371101222317329
Cre16.g656050	1.5366974788701844	0.8978051645224238	1.3569611308526095	1.410889718563091	0.772815951025953	0.909755541003778	0.7375858059173596	0.8830503930972907	0.9235192117924903	0.7495146757953366	0.9354004267769885	0.9000456104299728	1.1086028369355054	1.13223401465584	0.7898519878914811	0.8212873465167999	0.7326195673285811	0.9778558041816361
Cre16.g656400	2.1542881961816263	1.2246026908193464	1.929798532393811	2.172914196246675	1.001267004358387	1.0740441817161983	0.8519275740119885	1.212730815226047	1.2986313726435776	0.6294033024264719	1.4933941982035257	0.9925521467399664	0.7952470169353356	1.1474593361774945	0.7733179718397929	0.4240223114686746	1.106000042056293	1.029126666383388
