"Vm_gen"	"Vm_gen_noint"	"Vm_mut"	"Vm_mut_noint"	"Vm_gen_nomutator"	"Vm_gen_noint_nomutator"	"Vm_mut_nomutator"	"Vm_mut_noint_nomutator"
"Cre01.g000050"	0	0.000928116976884804	0.127543037164171	0.206038336228913	0	0.000873429935003893	0	0.110754348988349
"Cre01.g000100"	0	0.00100461412633166	0.156798983332789	0.234851860287396	0	0.000928459132061462	0	0.121355503171143
"Cre01.g000150"	0	0.000572838706787437	0.0715134286385803	0.124030921579795	0	0.000581398085716371	0	0.0657930125498814
"Cre01.g000200"	0	0.000475463017617274	0.187634626842472	0.227085083696713	0	0.000503491203165919	2.04192449383944e-15	0.101552275485317
"Cre01.g000250"	7.76705879160286e-16	0.000572948401262804	0.206477623810141	0.244804629318297	0	0.00053388635020093	0	0.111391978796775
"Cre01.g000300"	4.25878428278972e-11	0.000630662956097519	0.414433993869133	0.443199962199764	0.000254790770063986	0.000598723324131465	3.56933087657697e-15	0.181309917466247
"Cre01.g000350"	0	0.000701708225512441	0.268112473844513	0.307145604347192	0	0.000697554656416127	0	0.137716028888685
"Cre01.g000400"	0	0.000675057095361016	0.212579894194075	0.268523512291485	0	0.000621638901858935	0	0.125292182562932
"Cre01.g000450"	0	0.000689472317950698	0.186592226562714	0.244546195145259	0	0.000644319920993881	7.53056376709346e-16	0.116760797555198
"Cre01.g000500"	0	0.000516163629400396	0.050858732376523	0.0897668336045085	0	0.000469768861199172	1.43605973797767e-10	0.0494233620560947
"Cre01.g000550"	0	0.000533673144807597	0.0954177959356067	0.147038217113425	0	0.000520023713035082	0	0.0755667531075136
"Cre01.g000600"	0	0.000733353244290881	0.155610201831639	0.227110258234127	0	0.00070001042703388	0	0.114150833420728
"Cre01.g000650"	0	0.000595795265152799	0.379665556844639	0.399864179573828	0	0.000458656407529701	0	0.160492698667562
"Cre01.g000700"	0	0.000531421106520003	0.217859929069657	0.250457776697809	0	0.000424004258790845	0	0.108403890664196
"Cre01.g000750"	0	0.000291162692066211	0.236148170046152	0.255287781175637	0	0.000289608315890135	0	0.102387196706828
"Cre01.g000800"	0	0.00024935595551744	0.076513088682536	0.10557147324608	0	0.000274636580939609	0	0.0495099523888462
"Cre01.g000850"	0	0.000546834903442574	0.242655199122367	0.301416233367954	0	0.000546499942997262	0	0.138722933407763
"Cre01.g000900"	0	0.000349667786455959	0.341294080725212	0.375670914695937	0	0.000343228974509622	1.71273888517155e-14	0.151393467406942
"Cre01.g000950"	0	0.000544264672584649	0.0557852757781774	0.104989174403888	0	0.000586494818792664	0	0.0607797137896965
"Cre01.g001000"	0	0.000893151466408609	0.0800729769504374	0.160646894450489	0	0.000773265047119867	1.31066266454554e-09	0.0933827117793928
"Cre01.g001100"	0	0.000704021013003543	0.335664560895276	0.395723499273286	0	0.00069810989377784	0	0.174740009885324
"Cre01.g001150"	0	0.00063672333510456	0.258773314907487	0.313491950231775	0	0.000638540650537628	7.53611539642351e-10	0.140087410555873
"Cre01.g001200"	0	0.000126514358987499	0.191933947724581	0.207902287374952	0	0.000136223871613877	0	0.0819072037957582
"Cre01.g001250"	0	0.0003758816329798	0.11931078154062	0.145274634217263	0	0.000400770117656651	7.03829904399293e-10	0.0633939398566968
