index	CREN	CINC	CSCH	JG05	MALA
Cre08.g373100	0.0	32.10351557147281	11.092072111392852	10.509221874372837	24.845737153661442
Cre07.g335700	7.560402150667424	30.68073351246384	17.47030404870655	1.5684986991441277	44.89401458093111
Cre07.g335650	14.804035446256387	5.611812952105077	6.557396514797568		8.373584419862556
Cre07.g335600	4.113903966212448	2.8514902543198963	9.456358678849346	2.62116036019063	2.513101804160466
Cre07.g335550	1.4077844644502846	1.974768456267133	1.4392696857116614	3.0021564791430704	2.770385165586086
Cre07.g335400	4.382702276319911	36.44819826164545	26.079014446537528	27.08435292183644	34.51127856674816
Cre07.g335500	0.7530483286265005	1.3158244712082985		2.861767317481309	2.3103886772881586
Cre07.g335500	0.7530483286265005	1.8694903862102574		2.861767317481309	2.3103886772881586
Cre07.g335300	2.1678461607265165	37.225501081275716	15.136018362464771	8.201624147566179	20.15330240701067
Cre02.g096950	1.2838628382135377	0.5602865490306304	0.7436000024308066	0.7689425310385103	2.0800463091605925
Cre07.g335200	225.3117888095735	120.232879063458	213.58441302303413	574.8566353593026	43.30291437968646
Cre07.g335150	1.0734762335378016	2.3631701918838073	5.596051829746387	5.814007746608015	7.61624165145756
Cre07.g335100	0.0	19.69492111744034	24.88907600576237	1.9870364719858384	0.2593217465702494
Cre07.g334950	1.311690814399712	4.165952947671221	4.050846072294894	6.01144067245543	6.144935014253376
Cre07.g334900	2.0428323834176445	6.8572607832078925	0.0	9.420031809556063	13.18661601461709
Cre07.g334900	2.0428323834176445	6.8572607832078925	4.204263723537877	9.420031809556063	13.18661601461709
Cre07.g334800	18.024186901213962	131.1411816030577	29.803558395746283	10.964716965916484	80.43207968111533
Cre02.g097000	10.695849071597866	6.311021186765817	5.301312030086743	4.850617016364602	5.156793429083102
Cre07.g334750	7.704313942636722	16.53171067633982	45.1162599573615	4.550096622616254	5.6070468017604815
Cre07.g334700	36.05139307337163	18.067677130883837	41.81873436987644	43.973883700167036	21.1977519366556
Cre07.g334650	1.108936383244531	2.2107949664827644	6.1918511022667095	0.9930996733464775	5.464779693421999
Cre07.g334600	8.879254434185134	32.68484384725492	28.70228201008687	39.81882989484037	43.20112836356811
Cre07.g334550	42.07742973745184	1820.1993903349849	301.4679166009459	667.1915331685232	2982.1203475876664
Cre07.g334450	4.238957636341568	1.4965183963533466	5.116957971141828	5.114038406981203	2.740905772930383
Cre07.g334400	3.1377402020822975			5.269329362224989	2.703675845525556
Cre07.g334350	5.259289372745978	5.217347222624677	2.6702462467590524	0.0	5.7381202991084805
Cre02.g097050	13.693393927734233	12.165280397674254	76.73843639184905	2.477452390577075	71.17699517704479
Cre07.g334300	3.6861173185140284	1.104985527918214	3.568021378535221	1.7814059085970224	3.5399466512978424
Cre07.g334250	2.069860831854513	8.005870034311075	18.775307508492705	11.180223612655759	9.198104130133764
Cre07.g334200	16.69135877427695	21.40985241170539	46.11066478680323	16.296873846601898	19.881974543290678
Cre07.g334100	11.11496028858611	12.970531554221385	21.26336870914991		27.649499616048256
Cre07.g334025	20.316013830316386			29.55230911844556	45.22852694638792
Cre02.g097100	22.929234885348137	3.9542347155037856	142.05011683767864	1.9758063117768048	102.11719920298465
Cre14.g612950	4.0950715197673935	1.539538891058527	1.1636416810473351	4.030452349222073	3.66235608546576
Cre07.g333950	16.503436678141842	32.04145155993451	29.591307534767672	32.37357535571764	43.231948593599185
Cre07.g333900	111.27580181697216	142.66373217130482	126.9415090716222	95.5395550155018	269.8650511658682
Cre02.g097150	12.187611275693895	11.931689727235193	13.871235874618815	25.223996776052005	4.004978493556078
Cre13.g602300	2.439927776830892	5.293247682082331	2.9067097711398033	19.237702247537722	2.6215906885851807
Cre13.g602350	12.000618476750699	141.97768752047784	41.151566157516896	21.72292529962799	35.53402539833588
Cre13.g602400	7.933567305888257	7.289244467087794	12.646712751425765	8.391864115899002	17.85297568797163
Cre13.g602450	3.0489687259167098	52.475618250673676	11.127557739704997	7.986477114789589	54.3256894812829
Cre13.g602500	2.7086203775056195	8.25286943842415	2.5186542558511715	0.0	3.465648455737417
Cre13.g602550	1.6650562465104848	2.2330307317376117	37.504549393320204	0.6546757322627378	5.883374163645657
Cre13.g602600	2.438631369689902		11.639060060812898	4.698575807756511	18.98800862233558
Cre13.g602650	2.121971621259305	79.14649532151884	10.032405602385438	1.5060409134103832	45.55418681417382
Cre13.g602700	2.983009038922257	2.0693126117128378	5.103691237853136	2.3866272708967013	7.985063358879035
Cre02.g097200	3.1632945675872777	0.8782870228047719		0.5217129071349892	0.7405433867671272
Cre13.g602750	10.36220766111607	8.216702292703665	4.232441585473979	9.475648257524242	21.710080810527597
Cre13.g602850	8.131247180908671	18.889812102006225	23.14624693164817	15.440629799522114	20.444876145861265
Cre13.g602950	2.493911714926834	0.9227117361875279	0.4747180945652181	3.606718912792302	5.026984559782759
Cre13.g603000	46.603406848069035		188.51914139728183	108.45057750735344	131.26543780836664
Cre13.g603050	4.544146987996817	2.0128737817180915	8.886224387372195	4.955792120835589	4.23571040335523
Cre13.g603100	2.0110785749569398	9.601672619788271	8.849070092372168	9.307337773826957	10.953799702386497
Cre13.g603176	0.0	1.7626371710135216	1.176744977402399	2.1741314065233537	0.4141999719337981
Cre13.g801577	0.0	2.044731136237626	1.672039341692141	4.671761674722637	1.5714401532594302
Cre13.g603250	5.291936498193962	4.765989060281537	7.567881269986016	5.528425383897771	7.694969993947193
Cre13.g603350	0.0	0.34056299654018574	0.9604540729505937	0.9739988375723053	3.139034783934931
