Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC2344	GB141	0.1851	197.3003419731895	NA1 x NA2	0.8149
CC2344	GB66	0.1811	222.83092659080387	NA1 x NA2	0.8189
CC2344	JG4-1	0.1545	238.3446771018912	NA2	0.8455
CC2344	W13-1	0.1896	268.0062533782343	NA2	0.8104
CC2344	W13-2	0.1848	225.62365604193664	NA2	0.8152
CC2931	CC2932	0.1452	195.1652883966788	NA2	0.8548
CC2931	CC3059	0.1869	251.29459367508252	NA1 x NA2	0.8130999999999999
CC2931	CC3060	0.1852	236.98606459156397	NA1 x NA2	0.8148
CC2931	CC3061	0.1805	225.02918070853744	NA1 x NA2	0.8195
CC2931	CC3063	0.1903	216.97247187399438	NA1 x NA2	0.8097
CC2931	CC3079	0.1586	218.45207371579724	NA2	0.8414
CC2931	CL3-1	0.1519	228.30904766739715	NA2	0.8481
CC2931	GB117	0.1845	211.7733775974047	NA1 x NA2	0.8155
CC2931	GB119	0.1833	196.30332096233926	NA1 x NA2	0.8167
CC2931	GB123	0.1848	203.6733448655904	NA1 x NA2	0.8152
CC2931	GB13	0.1805	216.87294974144558	NA1 x NA2	0.8195
CC2931	GB141	0.1864	196.8743495228716	NA1 x NA2	0.8136
CC2931	GB66	0.1791	220.2694776468919	NA1 x NA2	0.8209
CC2931	JG4-1	0.1489	227.71862895478552	NA2	0.8511
CC2931	W13-1	0.1905	262.8000881558843	NA2	0.8095
CC2931	W13-2	0.1849	224.1087929356927	NA2	0.8150999999999999
CC2932	CC3059	0.1871	259.56695527145075	NA1 x NA2	0.8129
CC2932	CC3060	0.1865	232.14494609812576	NA1 x NA2	0.8135
CC2932	CC3061	0.185	219.93431111978646	NA1 x NA2	0.815
CC2932	CC3063	0.192	223.9232050392823	NA1 x NA2	0.808
CC2932	CC3079	0.1631	219.90332261812196	NA2	0.8369
CC2932	CL3-1	0.1595	230.48686401938616	NA2	0.8405
CC2932	GB117	0.1842	248.80817067030975	NA1 x NA2	0.8158
CC2932	GB119	0.1876	219.31047654133394	NA1 x NA2	0.8124
CC2932	GB123	0.1872	237.5677066237901	NA1 x NA2	0.8128
CC2932	GB13	0.1781	216.76504524181368	NA1 x NA2	0.8219
CC2932	GB141	0.1901	209.49636365746372	NA1 x NA2	0.8099000000000001
CC2932	GB66	0.1835	241.34767381200075	NA1 x NA2	0.8165
CC2932	JG4-1	0.1498	223.98149834861906	NA2	0.8502000000000001
CC2932	W13-1	0.1919	254.91757673625338	NA2	0.8081
CC2932	W13-2	0.1902	231.10886405391778	NA2	0.8098
CC3059	CC3060	0.1209	202.44495412279622	NA1	0.8791
CC3059	CC3061	0.1218	244.40745288516533	NA1	0.8782
CC3059	CC3063	0.13	203.39788894188268	NA1	0.87
CC3059	CC3079	0.1686	216.51583287154784	NA1 x NA2	0.8314
CC3059	CL3-1	0.1705	218.0685536665544	NA1 x NA2	0.8295
CC3059	GB117	0.1151	215.20535034608625	NA1	0.8849
CC3059	GB119	0.13	218.62674172962303	NA1	0.87
CC3059	GB123	0.1188	213.94257336113947	NA1	0.8812
